run,log_file,category,seconds,pct_of_run
1,r01_20260912_222346.jsonl,移动,2903.09,35.0
1,r01_20260912_222346.jsonl,测向,615.0,7.41
1,r01_20260912_222346.jsonl,换频,106.0,1.28
1,r01_20260912_222346.jsonl,清除(成功),55.0,0.66
1,r01_20260912_222346.jsonl,清除(失败),18.0,0.22
1,r01_20260912_222346.jsonl,未解释/余量,-1.0,-0.01
1,r01_20260912_232816.jsonl,移动,3852.688,46.45
1,r01_20260912_232816.jsonl,测向,570.0,6.87
1,r01_20260912_232816.jsonl,换频,99.0,1.19
1,r01_20260912_232816.jsonl,清除(成功),80.0,0.96
1,r01_20260912_232816.jsonl,清除(失败),0.0,0.0
1,r01_20260912_232816.jsonl,未解释/余量,-3.0,-0.04
2,r02_20260912_222353.jsonl,移动,2898.661,36.98
2,r02_20260912_222353.jsonl,测向,635.0,8.1
2,r02_20260912_222353.jsonl,换频,111.0,1.42
2,r02_20260912_222353.jsonl,清除(成功),55.0,0.7
2,r02_20260912_222353.jsonl,清除(失败),15.0,0.19
2,r02_20260912_222353.jsonl,未解释/余量,-1.0,-0.01
2,r02_20260912_232823.jsonl,移动,3356.001,42.81
2,r02_20260912_232823.jsonl,测向,610.0,7.78
2,r02_20260912_232823.jsonl,换频,91.0,1.16
2,r02_20260912_232823.jsonl,清除(成功),65.0,0.83
2,r02_20260912_232823.jsonl,清除(失败),3.0,0.04
2,r02_20260912_232823.jsonl,未解释/余量,-0.0,-0.0
3,r03_20260912_222410.jsonl,移动,3521.373,41.36
3,r03_20260912_222410.jsonl,测向,715.0,8.4
3,r03_20260912_222410.jsonl,换频,109.0,1.28
3,r03_20260912_222410.jsonl,清除(成功),75.0,0.88
3,r03_20260912_222410.jsonl,清除(失败),0.0,0.0
3,r03_20260912_222410.jsonl,未解释/余量,-1.0,-0.01
3,r03_20260912_232834.jsonl,移动,3225.748,37.89
3,r03_20260912_232834.jsonl,测向,710.0,8.34
3,r03_20260912_232834.jsonl,换频,109.0,1.28
3,r03_20260912_232834.jsonl,清除(成功),50.0,0.59
