run,log_file,start_time,cleared,detected,missed,vt_total_s,vt_total_h,avg_per_source_s,avg_locate_clear_s,n_measure,n_clear,n_clear_fail,clear_success_rate,avg_bearings_per_source,n_switch,move_distance_m,move_time_s,measure_time_s,switch_time_s,clear_time_s,other_time_s,init_time_s,hunt_time_s,ring_time_s,real_elapsed_s,n_records
1,r01_20260912_222346.jsonl,2026-09-12T22:23:46.209973,11,11,0,3696.09,1.0267,336.008,560.651,123,17,6,0.647,3.82,106,14515.5,2903.1,615.0,106.0,73.0,-1.0,119.0,1402.4,2174.7,1.79,142
1,r01_20260912_232816.jsonl,2026-09-12T23:28:18.841047,16,16,0,4598.688,1.2774,287.418,1251.208,114,16,0,1.0,3.62,99,19263.4,3852.7,570.0,99.0,80.0,-3.0,119.0,2732.6,1747.1,1.16,132
2,r02_20260912_222353.jsonl,2026-09-12T22:24:03.433292,11,11,0,3713.661,1.0316,337.606,546.613,127,16,5,0.688,3.91,111,14493.3,2898.7,635.0,111.0,70.0,-1.0,119.0,1335.6,2259.1,1.57,145
2,r02_20260912_232823.jsonl,2026-09-12T23:28:29.583600,13,13,0,4125.001,1.1458,317.308,668.459,122,14,1,0.929,4.85,91,16780.0,3356.0,610.0,91.0,68.0,-0.0,119.0,1802.0,2204.0,1.42,138
3,r03_20260912_222410.jsonl,2026-09-12T22:24:25.148455,15,15,0,4419.373,1.2276,294.625,461.149,143,15,0,1.0,5.07,109,17606.9,3521.4,715.0,109.0,75.0,-1.0,119.0,845.2,3455.2,1.85,160
3,r03_20260912_232834.jsonl,2026-09-12T23:28:40.348819,10,10,0,4094.748,1.1374,409.475,535.491,142,10,0,1.0,5.4,109,16128.7,3225.7,710.0,109.0,50.0,0.0,119.0,1465.7,2510.0,1.65,154
4,r04_20260912_222432.jsonl,2026-09-12T22:24:37.910216,12,12,0,3722.006,1.0339,310.167,609.586,123,12,0,1.0,4.33,103,14730.0,2946.0,615.0,103.0,60.0,-2.0,119.0,1296.7,2306.3,2.09,137
4,r04_20260912_232845.jsonl,2026-09-12T23:28:51.746426,15,15,0,4212.738,1.1702,280.849,392.741,123,15,0,1.0,4.0,102,17113.7,3422.7,615.0,102.0,75.0,-2.0,119.0,1370.7,2723.0,2.25,140
5,r05_20260912_222445.jsonl,2026-09-12T22:24:50.530658,11,11,0,3502.734,0.973,318.43,313.052,128,14,3,0.786,4.09,111,13448.7,2689.7,640.0,111.0,64.0,-2.0,119.0,521.9,2861.8,2.47,144
5,r05_20260912_232857.jsonl,2026-09-12T23:29:04.185600,11,11,0,4153.936,1.1539,377.631,430.552,139,11,0,1.0,4.45,118,16434.7,3286.9,695.0,118.0,55.0,-1.0,119.0,1323.6,2711.3,0.81,152
6,r06_20260912_222458.jsonl,2026-09-12T22:25:03.572295,10,10,0,3452.984,0.9592,345.298,359.87,139,12,2,0.833,4.7,117,12924.9,2585.0,695.0,117.0,56.0,-0.0,119.0,763.3,2570.7,2.43,153
6,r06_20260912_232908.jsonl,2026-09-12T23:29:14.544750,15,15,0,4423.081,1.2286,294.872,431.627,143,15,0,1.0,4.73,112,17625.4,3525.1,715.0,112.0,75.0,-4.0,119.0,1113.0,3191.1,1.46,160
7,r07_20260912_222511.jsonl,2026-09-12T22:25:15.711597,13,13,0,4933.376,1.3704,379.49,865.352,130,13,0,1.0,4.54,105,20581.9,4116.4,650.0,105.0,65.0,-3.0,119.0,1886.3,2928.1,2.29,145
7,r07_20260912_232919.jsonl,2026-09-12T23:29:25.758282,12,12,0,3930.635,1.0918,327.553,773.648,139,12,0,1.0,4.17,125,15273.2,3054.6,695.0,125.0,60.0,-4.0,119.0,1883.1,1928.6,2.24,153
8,r08_20260912_222523.jsonl,2026-09-12T22:25:30.132593,16,16,0,4795.832,1.3322,299.74,637.864,149,16,0,1.0,4.81,119,19274.2,3854.8,745.0,119.0,80.0,-3.0,119.0,2062.1,2614.7,2.87,167
8,r08_20260912_232931.jsonl,2026-09-12T23:29:37.677089,13,13,0,4130.921,1.1475,317.763,755.719,111,19,6,0.684,3.85,92,17019.6,3403.9,555.0,92.0,83.0,-3.0,119.0,1964.5,2047.5,1.32,132
9,r09_20260912_222538.jsonl,2026-09-12T22:25:42.342638,11,11,0,3685.145,1.0237,335.013,472.399,133,11,0,1.0,4.09,119,14245.7,2849.1,665.0,119.0,55.0,-3.0,119.0,1351.3,2214.9,1.66,146
9,r09_20260912_232942.jsonl,2026-09-12T23:29:50.020488,14,14,0,4584.462,1.2735,327.462,407.469,127,17,3,0.824,3.43,110,18812.3,3762.5,635.0,110.0,79.0,-2.0,119.0,762.6,3702.9,1.98,146
10,r10_20260912_222549.jsonl,2026-09-12T22:25:54.109613,15,15,0,3967.84,1.1022,264.523,674.629,106,18,3,0.833,3.6,90,16329.2,3265.8,530.0,90.0,84.0,-2.0,119.0,1672.5,2176.4,1.89,126
10,r10_20260912_232955.jsonl,2026-09-12T23:30:00.659149,16,16,0,4732.983,1.3147,295.811,570.41,152,16,0,1.0,4.75,121,18869.9,3774.0,760.0,121.0,80.0,-2.0,119.0,1131.6,3482.4,2.34,170
11,r11_20260912_233006.jsonl,2026-09-12T23:30:12.410459,10,10,0,3646.532,1.0129,364.653,446.782,142,12,2,0.833,5.2,116,13842.7,2768.5,710.0,116.0,56.0,-4.0,119.0,1213.3,2314.2,1.59,156
12,r12_20260912_233017.jsonl,2026-09-12T23:30:22.949317,13,13,0,4093.348,1.137,314.873,467.65,133,13,0,1.0,4.62,104,16301.7,3260.3,665.0,104.0,65.0,-1.0,119.0,1334.2,2640.2,2.05,148
13,r13_20260912_233028.jsonl,2026-09-12T23:30:33.654399,13,13,0,4121.192,1.1448,317.015,625.027,131,13,0,1.0,3.69,120,16441.0,3288.2,655.0,120.0,65.0,-7.0,119.0,1787.8,2214.3,2.35,146
14,r14_20260912_233039.jsonl,2026-09-12T23:30:44.302547,14,14,0,3780.114,1.05,270.008,450.286,121,14,0,1.0,4.29,99,15040.6,3008.1,605.0,99.0,70.0,-2.0,119.0,1051.0,2610.1,1.7,137
15,r15_20260912_233049.jsonl,2026-09-12T23:30:55.407285,11,11,0,4030.353,1.1195,366.396,612.309,122,11,0,1.0,4.09,103,16331.8,3266.4,610.0,103.0,55.0,-4.0,119.0,1559.6,2351.8,1.59,135
16,r16_20260912_233100.jsonl,2026-09-12T23:31:08.913839,10,10,0,3793.049,1.0536,379.305,480.369,143,10,0,1.0,5.1,118,14570.2,2914.0,715.0,118.0,50.0,-4.0,119.0,965.8,2708.3,2.09,155
17,r17_20260912_233114.jsonl,2026-09-12T23:31:21.564007,16,16,0,4982.41,1.384,311.401,806.283,136,16,0,1.0,4.12,120,20542.1,4108.4,680.0,120.0,80.0,-6.0,119.0,2017.5,2845.9,2.44,154
18,r18_20260912_233127.jsonl,2026-09-12T23:31:33.277472,10,10,0,4130.938,1.1475,413.094,837.13,138,10,0,1.0,5.7,103,16439.7,3287.9,690.0,103.0,50.0,-0.0,119.0,1753.2,2258.7,1.72,150
19,r19_20260912_233138.jsonl,2026-09-12T23:31:43.564198,13,13,0,3939.378,1.0943,303.029,675.67,126,13,0,1.0,4.85,95,15746.9,3149.4,630.0,95.0,65.0,-0.0,119.0,1380.5,2439.8,1.44,141
20,r20_20260912_233148.jsonl,2026-09-12T23:31:54.690803,12,12,0,3968.24,1.1023,330.687,444.407,135,12,0,1.0,4.67,114,15601.2,3120.2,675.0,114.0,60.0,-1.0,119.0,1111.6,2737.6,1.31,149
