run,log_file,channel,detected,first_detect_vt_s,first_detect_radius_m,n_bearings,cleared,clear_vt_s,locate_clear_time_s,n_clear_attempts,n_clear_fail,clear_success_rate
1,r01_20260912_222346.jsonl,1,0,,,0,0,,,0,0,
1,r01_20260912_222346.jsonl,2,0,,,0,0,,,0,0,
1,r01_20260912_222346.jsonl,3,1,17.0,0.0,3,1,1455.837,1438.837,3,2,0.333
1,r01_20260912_222346.jsonl,4,1,23.0,0.0,4,1,949.724,926.724,4,3,0.25
1,r01_20260912_222346.jsonl,5,0,,,0,0,,,0,0,
1,r01_20260912_222346.jsonl,6,1,35.0,0.0,3,1,407.264,372.264,1,0,1.0
1,r01_20260912_222346.jsonl,7,1,2153.425,1150.0,3,1,2324.084,170.659,1,0,1.0
1,r01_20260912_222346.jsonl,8,1,47.0,0.0,2,1,560.605,513.605,1,0,1.0
1,r01_20260912_222346.jsonl,9,0,,,0,0,,,0,0,
1,r01_20260912_222346.jsonl,10,0,,,0,0,,,0,0,
1,r01_20260912_222346.jsonl,11,0,,,0,0,,,0,0,
1,r01_20260912_222346.jsonl,12,0,,,0,0,,,0,0,
1,r01_20260912_222346.jsonl,13,0,,,0,0,,,0,0,
1,r01_20260912_222346.jsonl,14,0,,,0,0,,,0,0,
1,r01_20260912_222346.jsonl,15,1,89.0,0.0,3,1,708.026,619.026,2,1,0.5
1,r01_20260912_222346.jsonl,16,1,2669.305,1150.0,3,1,2908.065,238.76,1,0,1.0
1,r01_20260912_222346.jsonl,17,1,3186.099,1150.0,7,1,3478.256,292.158,1,0,1.0
1,r01_20260912_222346.jsonl,18,1,107.0,0.0,4,1,316.539,209.539,1,0,1.0
1,r01_20260912_222346.jsonl,19,1,2681.305,1150.0,3,1,2798.316,117.011,1,0,1.0
1,r01_20260912_222346.jsonl,20,1,119.0,0.0,7,1,1387.575,1268.575,1,0,1.0
1,r01_20260912_232816.jsonl,1,1,5.0,0.0,3,1,625.656,620.656,1,0,1.0
1,r01_20260912_232816.jsonl,2,1,11.0,0.0,3,1,2441.269,2430.269,1,0,1.0
1,r01_20260912_232816.jsonl,3,1,17.0,0.0,3,1,1693.154,1676.154,1,0,1.0
1,r01_20260912_232816.jsonl,4,1,23.0,0.0,4,1,1082.852,1059.852,1,0,1.0
1,r01_20260912_232816.jsonl,5,1,29.0,0.0,3,1,2765.482,2736.482,1,0,1.0
1,r01_20260912_232816.jsonl,6,1,35.0,0.0,3,1,918.497,883.497,1,0,1.0
1,r01_20260912_232816.jsonl,7,1,41.0,0.0,3,1,1338.972,1297.972,1,0,1.0
1,r01_20260912_232816.jsonl,8,1,47.0,0.0,2,1,1870.931,1823.931,1,0,1.0
1,r01_20260912_232816.jsonl,9,1,4471.541,1150.0,3,1,4598.688,127.148,1,0,1.0
1,r01_20260912_232816.jsonl,10,0,,,0,0,,,0,0,
