指标,样本数,均值,标准差,最小值,25分位,中位数,75分位,最大值
cleared,30,12.733,2.067,10.0,11.0,13.0,14.75,16.0
detected,30,12.733,2.067,10.0,11.0,13.0,14.75,16.0
missed,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vt_total_s,30,4112.06,413.613,3452.984,3783.348,4094.048,4367.714,4982.41
vt_total_h,30,1.142,0.115,0.959,1.051,1.137,1.213,1.384
avg_per_source_s,30,327.583,38.093,264.523,300.562,318.096,343.375,413.094
avg_locate_clear_s,30,585.48,193.305,313.052,447.658,553.632,673.087,1251.208
n_measure,30,131.333,11.081,106.0,123.0,132.0,139.0,152.0
n_clear,30,13.767,2.487,10.0,12.0,13.5,16.0,19.0
n_clear_fail,30,1.033,1.866,0.0,0.0,0.0,1.75,6.0
clear_success_rate,30,0.935,0.112,0.647,0.857,1.0,1.0,1.0
avg_bearings_per_source,30,4.418,0.571,3.43,4.022,4.39,4.795,5.7
n_switch,30,108.7,9.71,90.0,103.0,109.5,117.75,125.0
move_distance_m,30,16410.97,2005.063,12924.9,14807.65,16330.5,17483.6,20581.9
move_time_s,30,3282.183,401.02,2585.0,2961.525,3266.1,3496.725,4116.4
measure_time_s,30,656.667,55.403,530.0,615.0,660.0,695.0,760.0
switch_time_s,30,108.7,9.71,90.0,103.0,109.5,117.75,125.0
clear_time_s,30,66.767,10.705,50.0,57.0,65.0,75.0,84.0
other_time_s,30,-2.267,1.76,-7.0,-3.0,-2.0,-1.0,-0.0
init_time_s,30,119.0,0.0,119.0,119.0,119.0,119.0,119.0
hunt_time_s,30,1428.707,469.85,521.9,1117.65,1361.0,1779.15,2732.6
ring_time_s,30,2564.357,459.722,1747.1,2225.85,2540.35,2733.95,3702.9
real_elapsed_s,30,1.861,0.464,0.81,1.575,1.82,2.248,2.87
