run,log_file,phase,seconds,pct_of_run
1,r01_20260912_222346.jsonl,初始扫描(原点20频道),119.0,1.43
1,r01_20260912_222346.jsonl,追踪清除(hunt),1402.425,16.91
1,r01_20260912_222346.jsonl,补网扫描(ring),2174.665,26.22
1,r01_20260912_232816.jsonl,初始扫描(原点20频道),119.0,1.43
1,r01_20260912_232816.jsonl,追踪清除(hunt),2732.603,32.94
1,r01_20260912_232816.jsonl,补网扫描(ring),1747.085,21.06
2,r02_20260912_222353.jsonl,初始扫描(原点20频道),119.0,1.52
2,r02_20260912_222353.jsonl,追踪清除(hunt),1335.591,17.04
2,r02_20260912_222353.jsonl,补网扫描(ring),2259.07,28.82
2,r02_20260912_232823.jsonl,初始扫描(原点20频道),119.0,1.52
2,r02_20260912_232823.jsonl,追踪清除(hunt),1802.028,22.99
2,r02_20260912_232823.jsonl,补网扫描(ring),2203.973,28.12
3,r03_20260912_222410.jsonl,初始扫描(原点20频道),119.0,1.4
3,r03_20260912_222410.jsonl,追踪清除(hunt),845.212,9.93
3,r03_20260912_222410.jsonl,补网扫描(ring),3455.161,40.58
3,r03_20260912_232834.jsonl,初始扫描(原点20频道),119.0,1.4
3,r03_20260912_232834.jsonl,追踪清除(hunt),1465.716,17.22
3,r03_20260912_232834.jsonl,补网扫描(ring),2510.032,29.48
4,r04_20260912_222432.jsonl,初始扫描(原点20频道),119.0,1.5
4,r04_20260912_222432.jsonl,追踪清除(hunt),1296.746,16.34
4,r04_20260912_222432.jsonl,补网扫描(ring),2306.26,29.07
4,r04_20260912_232845.jsonl,初始扫描(原点20频道),119.0,1.5
4,r04_20260912_232845.jsonl,追踪清除(hunt),1370.745,17.28
4,r04_20260912_232845.jsonl,补网扫描(ring),2722.993,34.32
5,r05_20260912_222445.jsonl,初始扫描(原点20频道),119.0,1.55
5,r05_20260912_222445.jsonl,追踪清除(hunt),521.934,6.82
5,r05_20260912_222445.jsonl,补网扫描(ring),2861.8,37.38
5,r05_20260912_232857.jsonl,初始扫描(原点20频道),119.0,1.55
5,r05_20260912_232857.jsonl,追踪清除(hunt),1323.601,17.29
5,r05_20260912_232857.jsonl,补网扫描(ring),2711.335,35.41
6,r06_20260912_222458.jsonl,初始扫描(原点20频道),119.0,1.51
6,r06_20260912_222458.jsonl,追踪清除(hunt),763.292,9.69
6,r06_20260912_222458.jsonl,补网扫描(ring),2570.692,32.64
6,r06_20260912_232908.jsonl,初始扫描(原点20频道),119.0,1.51
6,r06_20260912_232908.jsonl,追踪清除(hunt),1112.968,14.13
6,r06_20260912_232908.jsonl,补网扫描(ring),3191.113,40.52
7,r07_20260912_222511.jsonl,初始扫描(原点20频道),119.0,1.34
7,r07_20260912_222511.jsonl,追踪清除(hunt),1886.274,21.28
7,r07_20260912_222511.jsonl,补网扫描(ring),2928.102,33.03
7,r07_20260912_232919.jsonl,初始扫描(原点20频道),119.0,1.34
7,r07_20260912_232919.jsonl,追踪清除(hunt),1883.052,21.24
7,r07_20260912_232919.jsonl,补网扫描(ring),1928.582,21.76
8,r08_20260912_222523.jsonl,初始扫描(原点20频道),119.0,1.33
8,r08_20260912_222523.jsonl,追踪清除(hunt),2062.105,23.1
8,r08_20260912_222523.jsonl,补网扫描(ring),2614.727,29.29
8,r08_20260912_232931.jsonl,初始扫描(原点20频道),119.0,1.33
8,r08_20260912_232931.jsonl,追踪清除(hunt),1964.454,22.01
8,r08_20260912_232931.jsonl,补网扫描(ring),2047.468,22.94
9,r09_20260912_222538.jsonl,初始扫描(原点20频道),119.0,1.44
9,r09_20260912_222538.jsonl,追踪清除(hunt),1351.258,16.34
9,r09_20260912_222538.jsonl,补网扫描(ring),2214.887,26.78
9,r09_20260912_232942.jsonl,初始扫描(原点20频道),119.0,1.44
9,r09_20260912_232942.jsonl,追踪清除(hunt),762.608,9.22
