run,log_file,category,seconds,pct_of_run
1,r01_20260912_222346.jsonl,移动,2903.09,78.54
1,r01_20260912_222346.jsonl,测向,615.0,16.64
1,r01_20260912_222346.jsonl,换频,106.0,2.87
1,r01_20260912_222346.jsonl,清除(成功),55.0,1.49
1,r01_20260912_222346.jsonl,清除(失败),18.0,0.49
1,r01_20260912_222346.jsonl,未解释/余量,-1.0,-0.03
2,r02_20260912_222353.jsonl,移动,2898.661,78.05
2,r02_20260912_222353.jsonl,测向,635.0,17.1
2,r02_20260912_222353.jsonl,换频,111.0,2.99
2,r02_20260912_222353.jsonl,清除(成功),55.0,1.48
2,r02_20260912_222353.jsonl,清除(失败),15.0,0.4
2,r02_20260912_222353.jsonl,未解释/余量,-1.0,-0.03
3,r03_20260912_222410.jsonl,移动,3521.373,79.68
3,r03_20260912_222410.jsonl,测向,715.0,16.18
3,r03_20260912_222410.jsonl,换频,109.0,2.47
3,r03_20260912_222410.jsonl,清除(成功),75.0,1.7
3,r03_20260912_222410.jsonl,清除(失败),0.0,0.0
3,r03_20260912_222410.jsonl,未解释/余量,-1.0,-0.02
4,r04_20260912_222432.jsonl,移动,2946.006,79.15
4,r04_20260912_222432.jsonl,测向,615.0,16.52
4,r04_20260912_222432.jsonl,换频,103.0,2.77
4,r04_20260912_222432.jsonl,清除(成功),60.0,1.61
4,r04_20260912_222432.jsonl,清除(失败),0.0,0.0
4,r04_20260912_222432.jsonl,未解释/余量,-2.0,-0.05
5,r05_20260912_222445.jsonl,移动,2689.734,76.79
5,r05_20260912_222445.jsonl,测向,640.0,18.27
5,r05_20260912_222445.jsonl,换频,111.0,3.17
5,r05_20260912_222445.jsonl,清除(成功),55.0,1.57
5,r05_20260912_222445.jsonl,清除(失败),9.0,0.26
5,r05_20260912_222445.jsonl,未解释/余量,-2.0,-0.06
6,r06_20260912_222458.jsonl,移动,2584.984,74.86
6,r06_20260912_222458.jsonl,测向,695.0,20.13
6,r06_20260912_222458.jsonl,换频,117.0,3.39
6,r06_20260912_222458.jsonl,清除(成功),50.0,1.45
6,r06_20260912_222458.jsonl,清除(失败),6.0,0.17
6,r06_20260912_222458.jsonl,未解释/余量,-0.0,-0.0
7,r07_20260912_222511.jsonl,移动,4116.376,83.44
7,r07_20260912_222511.jsonl,测向,650.0,13.18
7,r07_20260912_222511.jsonl,换频,105.0,2.13
7,r07_20260912_222511.jsonl,清除(成功),65.0,1.32
7,r07_20260912_222511.jsonl,清除(失败),0.0,0.0
7,r07_20260912_222511.jsonl,未解释/余量,-3.0,-0.06
8,r08_20260912_222523.jsonl,移动,3854.832,80.38
8,r08_20260912_222523.jsonl,测向,745.0,15.53
8,r08_20260912_222523.jsonl,换频,119.0,2.48
8,r08_20260912_222523.jsonl,清除(成功),80.0,1.67
8,r08_20260912_222523.jsonl,清除(失败),0.0,0.0
8,r08_20260912_222523.jsonl,未解释/余量,-3.0,-0.06
9,r09_20260912_222538.jsonl,移动,2849.145,77.31
9,r09_20260912_222538.jsonl,测向,665.0,18.05
9,r09_20260912_222538.jsonl,换频,119.0,3.23
9,r09_20260912_222538.jsonl,清除(成功),55.0,1.49
9,r09_20260912_222538.jsonl,清除(失败),0.0,0.0
9,r09_20260912_222538.jsonl,未解释/余量,-3.0,-0.08
10,r10_20260912_222549.jsonl,移动,3265.84,82.31
10,r10_20260912_222549.jsonl,测向,530.0,13.36
10,r10_20260912_222549.jsonl,换频,90.0,2.27
10,r10_20260912_222549.jsonl,清除(成功),75.0,1.89
10,r10_20260912_222549.jsonl,清除(失败),9.0,0.23
10,r10_20260912_222549.jsonl,未解释/余量,-2.0,-0.05
