指标,样本数,均值,标准差,最小值,25分位,中位数,75分位,最大值
cleared,10,12.5,2.121,10.0,11.0,11.5,14.5,16.0
detected,10,12.5,2.121,10.0,11.0,11.5,14.5,16.0
missed,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vt_total_s,10,3988.904,535.151,3452.984,3687.881,3717.833,4306.49,4933.376
vt_total_h,10,1.108,0.149,0.959,1.024,1.033,1.196,1.37
avg_per_source_s,10,322.09,31.899,264.523,302.347,326.721,337.207,379.49
avg_locate_clear_s,10,550.117,160.757,313.052,463.962,553.632,630.794,865.352
n_measure,10,130.1,12.05,106.0,124.0,129.0,137.5,149.0
n_clear,10,14.4,2.366,11.0,12.25,14.5,16.0,18.0
n_clear_fail,10,1.9,2.283,0.0,0.0,1.0,3.0,6.0
clear_success_rate,10,0.879,0.14,0.647,0.798,0.916,1.0,1.0
avg_bearings_per_source,10,4.296,0.475,3.6,3.955,4.21,4.66,5.07
n_switch,10,109.0,8.781,90.0,105.25,110.0,115.5,119.0
move_distance_m,10,15815.03,2564.551,12924.9,14307.6,14622.75,17287.475,20581.9
move_time_s,10,3163.0,512.911,2585.0,2861.5,2924.55,3457.5,4116.4
measure_time_s,10,650.5,60.252,530.0,620.0,645.0,687.5,745.0
switch_time_s,10,109.0,8.781,90.0,105.25,110.0,115.5,119.0
clear_time_s,10,68.2,9.886,55.0,61.0,67.5,74.5,84.0
other_time_s,10,-1.8,1.033,-3.0,-2.75,-2.0,-1.0,-0.0
init_time_s,10,119.0,0.0,119.0,119.0,119.0,119.0,119.0
hunt_time_s,10,1313.73,491.725,521.9,958.075,1343.45,1604.975,2062.1
ring_time_s,10,2556.19,421.707,2174.7,2225.95,2438.5,2800.025,3455.2
real_elapsed_s,10,2.091,0.415,1.57,1.805,1.99,2.395,2.87
