round,log_file,start_time,end_time,enter_ok,exit_ok,cleared,vt_total_s,vt_total_h,avg_per_source_s,measure_cnt,switch_cnt,clear_attempts,clear_fail,channels_detected,real_elapsed_s,records,error
1,r01_20260912_232816.jsonl,20260912_232816,,1,1,16,4598.688,1.2774,287.418,114,96,,0,16,1.6,132,
2,r02_20260912_232823.jsonl,20260912_232823,,1,1,13,4125.001,1.1458,317.308,122,91,,1,13,1.61,138,
3,r03_20260912_232834.jsonl,20260912_232834,,1,1,10,4094.748,1.1374,409.475,142,109,,0,10,2.25,154,
4,r04_20260912_232845.jsonl,20260912_232845,,1,1,15,4212.738,1.1702,280.849,123,100,,0,15,2.28,140,
5,r05_20260912_232857.jsonl,20260912_232857,,1,1,11,4153.936,1.1539,377.631,139,117,,0,11,1.22,152,
6,r06_20260912_232908.jsonl,20260912_232908,,1,1,15,4423.081,1.2286,294.872,143,108,,0,15,1.99,160,
7,r07_20260912_232919.jsonl,20260912_232919,,1,1,12,3930.635,1.0918,327.553,139,121,,0,12,2.73,153,
8,r08_20260912_232931.jsonl,20260912_232931,,1,1,13,4130.921,1.1475,317.763,111,89,,6,13,2.16,132,
9,r09_20260912_232942.jsonl,20260912_232942,,1,1,14,4584.462,1.2735,327.462,127,108,,3,14,2.47,146,
10,r10_20260912_232955.jsonl,20260912_232955,,1,1,16,4732.983,1.3147,295.811,152,119,,0,16,2.6,170,
11,r11_20260912_233006.jsonl,20260912_233006,,1,1,10,3646.532,1.0129,364.653,142,112,,2,10,2.35,156,
12,r12_20260912_233017.jsonl,20260912_233017,,1,1,13,4093.348,1.137,314.873,133,103,,0,13,2.52,148,
13,r13_20260912_233028.jsonl,20260912_233028,,1,1,13,4121.192,1.1448,317.015,131,113,,0,13,2.48,146,
14,r14_20260912_233039.jsonl,20260912_233039,,1,1,14,3780.114,1.05,270.008,121,97,,0,14,1.98,137,
15,r15_20260912_233049.jsonl,20260912_233049,,1,1,11,4030.353,1.1195,366.396,122,99,,0,11,2.24,135,
16,r16_20260912_233100.jsonl,20260912_233100,,1,1,10,3793.049,1.0536,379.305,143,114,,0,10,2.44,155,
17,r17_20260912_233114.jsonl,20260912_233114,,1,1,16,4982.41,1.384,311.401,136,114,,0,16,2.56,154,
18,r18_20260912_233127.jsonl,20260912_233127,,1,1,10,4130.938,1.1475,413.094,138,103,,0,10,2.12,150,
19,r19_20260912_233138.jsonl,20260912_233138,,1,1,13,3939.378,1.0943,303.029,126,95,,0,13,2.01,141,
20,r20_20260912_233148.jsonl,20260912_233148,,1,1,12,3968.24,1.1023,330.687,135,113,,0,12,1.97,149,
