run,log_file,idx,vt_s,dt_s,action,channel,x,y,result
1,r01_20260912_225951.jsonl,0,0.0,0.0,enter,,,,
1,r01_20260912_225951.jsonl,1,5.0,5.0,measure,1,0.0,0.0,no_signal
1,r01_20260912_225951.jsonl,2,11.0,6.0,measure,2,0.0,0.0,direction
1,r01_20260912_225951.jsonl,3,17.0,6.0,measure,3,0.0,0.0,direction
1,r01_20260912_225951.jsonl,4,23.0,6.0,measure,4,0.0,0.0,direction
1,r01_20260912_225951.jsonl,5,29.0,6.0,measure,5,0.0,0.0,no_signal
1,r01_20260912_225951.jsonl,6,35.0,6.0,measure,6,0.0,0.0,no_signal
1,r01_20260912_225951.jsonl,7,41.0,6.0,measure,7,0.0,0.0,no_signal
1,r01_20260912_225951.jsonl,8,47.0,6.0,measure,8,0.0,0.0,direction
1,r01_20260912_225951.jsonl,9,53.0,6.0,measure,9,0.0,0.0,no_signal
1,r01_20260912_225951.jsonl,10,59.0,6.0,measure,10,0.0,0.0,direction
1,r01_20260912_225951.jsonl,11,65.0,6.0,measure,11,0.0,0.0,direction
1,r01_20260912_225951.jsonl,12,71.0,6.0,measure,12,0.0,0.0,no_signal
1,r01_20260912_225951.jsonl,13,77.0,6.0,measure,13,0.0,0.0,no_signal
1,r01_20260912_225951.jsonl,14,83.0,6.0,measure,14,0.0,0.0,no_signal
1,r01_20260912_225951.jsonl,15,89.0,6.0,measure,15,0.0,0.0,no_signal
1,r01_20260912_225951.jsonl,16,95.0,6.0,measure,16,0.0,0.0,no_signal
1,r01_20260912_225951.jsonl,17,101.0,6.0,measure,17,0.0,0.0,no_signal
1,r01_20260912_225951.jsonl,18,107.0,6.0,measure,18,0.0,0.0,direction
1,r01_20260912_225951.jsonl,19,113.0,6.0,measure,19,0.0,0.0,no_signal
1,r01_20260912_225951.jsonl,20,119.0,6.0,measure,20,0.0,0.0,direction
1,r01_20260912_225951.jsonl,21,205.0,86.0,measure,19,400.0,0.0,no_signal
1,r01_20260912_225951.jsonl,22,211.0,6.0,measure,17,400.0,0.0,no_signal
1,r01_20260912_225951.jsonl,23,217.0,6.0,measure,16,400.0,0.0,no_signal
1,r01_20260912_225951.jsonl,24,223.0,6.0,measure,15,400.0,0.0,no_signal
1,r01_20260912_225951.jsonl,25,229.0,6.0,measure,14,400.0,0.0,no_signal
1,r01_20260912_225951.jsonl,26,235.0,6.0,measure,13,400.0,0.0,no_signal
1,r01_20260912_225951.jsonl,27,241.0,6.0,measure,12,400.0,0.0,no_signal
1,r01_20260912_225951.jsonl,28,247.0,6.0,measure,9,400.0,0.0,no_signal
1,r01_20260912_225951.jsonl,29,253.0,6.0,measure,7,400.0,0.0,no_signal
1,r01_20260912_225951.jsonl,30,259.0,6.0,measure,6,400.0,0.0,no_signal
1,r01_20260912_225951.jsonl,31,265.0,6.0,measure,5,400.0,0.0,no_signal
1,r01_20260912_225951.jsonl,32,271.0,6.0,measure,1,400.0,0.0,no_signal
1,r01_20260912_225951.jsonl,33,277.0,6.0,measure,11,400.0,0.0,direction
1,r01_20260912_225951.jsonl,34,283.0,6.0,measure,18,400.0,0.0,direction
1,r01_20260912_225951.jsonl,35,369.0,86.0,measure,17,200.0,346.41,no_signal
1,r01_20260912_225951.jsonl,36,375.0,6.0,measure,19,200.0,346.41,no_signal
1,r01_20260912_225951.jsonl,37,381.0,6.0,measure,16,200.0,346.41,no_signal
1,r01_20260912_225951.jsonl,38,387.0,6.0,measure,15,200.0,346.41,no_signal
1,r01_20260912_225951.jsonl,39,393.0,6.0,measure,14,200.0,346.41,no_signal
1,r01_20260912_225951.jsonl,40,399.0,6.0,measure,13,200.0,346.41,no_signal
1,r01_20260912_225951.jsonl,41,405.0,6.0,measure,12,200.0,346.41,no_signal
1,r01_20260912_225951.jsonl,42,411.0,6.0,measure,9,200.0,346.41,no_signal
1,r01_20260912_225951.jsonl,43,417.0,6.0,measure,7,200.0,346.41,no_signal
1,r01_20260912_225951.jsonl,44,423.0,6.0,measure,6,200.0,346.41,no_signal
1,r01_20260912_225951.jsonl,45,429.0,6.0,measure,5,200.0,346.41,no_signal
1,r01_20260912_225951.jsonl,46,435.0,6.0,measure,1,200.0,346.41,no_signal
1,r01_20260912_225951.jsonl,47,441.0,6.0,measure,3,200.0,346.41,direction
1,r01_20260912_225951.jsonl,48,447.0,6.0,measure,10,200.0,346.41,direction
1,r01_20260912_225951.jsonl,49,533.0,86.0,measure,9,-200.0,346.41,no_signal
1,r01_20260912_225951.jsonl,50,539.0,6.0,measure,12,-200.0,346.41,no_signal
1,r01_20260912_225951.jsonl,51,545.0,6.0,measure,7,-200.0,346.41,no_signal
1,r01_20260912_225951.jsonl,52,551.0,6.0,measure,13,-200.0,346.41,no_signal
1,r01_20260912_225951.jsonl,53,557.0,6.0,measure,6,-200.0,346.41,no_signal
1,r01_20260912_225951.jsonl,54,563.0,6.0,measure,14,-200.0,346.41,direction
1,r01_20260912_225951.jsonl,55,569.0,6.0,measure,5,-200.0,346.41,no_signal
1,r01_20260912_225951.jsonl,56,575.0,6.0,measure,15,-200.0,346.41,no_signal
1,r01_20260912_225951.jsonl,57,581.0,6.0,measure,16,-200.0,346.41,no_signal
1,r01_20260912_225951.jsonl,58,587.0,6.0,measure,17,-200.0,346.41,no_signal
1,r01_20260912_225951.jsonl,59,593.0,6.0,measure,1,-200.0,346.41,no_signal
1,r01_20260912_225951.jsonl,60,599.0,6.0,measure,19,-200.0,346.41,direction
1,r01_20260912_225951.jsonl,61,605.0,6.0,measure,20,-200.0,346.41,direction
1,r01_20260912_225951.jsonl,62,611.0,6.0,measure,8,-200.0,346.41,direction
1,r01_20260912_225951.jsonl,63,674.487,63.487,measure,3,-432.094,515.968,direction
1,r01_20260912_225951.jsonl,64,680.658,6.172,clear,3,-437.514,513.743,success
1,r01_20260912_225951.jsonl,65,789.68,109.022,measure,1,-400.0,0.0,no_signal
1,r01_20260912_225951.jsonl,66,795.68,6.0,measure,5,-400.0,0.0,no_signal
1,r01_20260912_225951.jsonl,67,801.68,6.0,measure,6,-400.0,0.0,no_signal
1,r01_20260912_225951.jsonl,68,807.68,6.0,measure,7,-400.0,0.0,no_signal
1,r01_20260912_225951.jsonl,69,813.68,6.0,measure,9,-400.0,0.0,no_signal
1,r01_20260912_225951.jsonl,70,819.68,6.0,measure,12,-400.0,0.0,no_signal
1,r01_20260912_225951.jsonl,71,825.68,6.0,measure,13,-400.0,0.0,no_signal
1,r01_20260912_225951.jsonl,72,831.68,6.0,measure,15,-400.0,0.0,no_signal
1,r01_20260912_225951.jsonl,73,837.68,6.0,measure,16,-400.0,0.0,no_signal
1,r01_20260912_225951.jsonl,74,843.68,6.0,measure,17,-400.0,0.0,no_signal
1,r01_20260912_225951.jsonl,75,849.68,6.0,measure,2,-400.0,0.0,direction
1,r01_20260912_225951.jsonl,76,855.68,6.0,measure,4,-400.0,0.0,direction
1,r01_20260912_225951.jsonl,77,937.803,82.123,measure,8,-253.933,-351.469,no_signal
1,r01_20260912_225951.jsonl,78,960.803,23.0,measure,8,-253.933,-261.469,direction
1,r01_20260912_225951.jsonl,79,982.257,21.454,clear,8,-248.741,-343.576,success
1,r01_20260912_225951.jsonl,80,998.022,15.765,measure,7,-200.0,-346.41,no_signal
1,r01_20260912_225951.jsonl,81,1004.022,6.0,measure,9,-200.0,-346.41,no_signal
1,r01_20260912_225951.jsonl,82,1010.022,6.0,measure,6,-200.0,-346.41,no_signal
1,r01_20260912_225951.jsonl,83,1016.022,6.0,measure,5,-200.0,-346.41,no_signal
1,r01_20260912_225951.jsonl,84,1022.022,6.0,measure,12,-200.0,-346.41,no_signal
1,r01_20260912_225951.jsonl,85,1028.022,6.0,measure,13,-200.0,-346.41,no_signal
1,r01_20260912_225951.jsonl,86,1034.022,6.0,measure,1,-200.0,-346.41,no_signal
1,r01_20260912_225951.jsonl,87,1040.022,6.0,measure,15,-200.0,-346.41,no_signal
1,r01_20260912_225951.jsonl,88,1046.022,6.0,measure,16,-200.0,-346.41,no_signal
1,r01_20260912_225951.jsonl,89,1052.022,6.0,measure,17,-200.0,-346.41,no_signal
1,r01_20260912_225951.jsonl,90,1058.022,6.0,measure,4,-200.0,-346.41,direction
1,r01_20260912_225951.jsonl,91,1064.022,6.0,measure,11,-200.0,-346.41,direction
1,r01_20260912_225951.jsonl,92,1150.022,86.0,measure,12,200.0,-346.41,no_signal
1,r01_20260912_225951.jsonl,93,1156.022,6.0,measure,9,200.0,-346.41,no_signal
1,r01_20260912_225951.jsonl,94,1162.022,6.0,measure,13,200.0,-346.41,no_signal
1,r01_20260912_225951.jsonl,95,1168.022,6.0,measure,7,200.0,-346.41,no_signal
1,r01_20260912_225951.jsonl,96,1174.022,6.0,measure,15,200.0,-346.41,no_signal
1,r01_20260912_225951.jsonl,97,1180.022,6.0,measure,6,200.0,-346.41,no_signal
1,r01_20260912_225951.jsonl,98,1186.022,6.0,measure,16,200.0,-346.41,no_signal
1,r01_20260912_225951.jsonl,99,1192.022,6.0,measure,5,200.0,-346.41,direction
1,r01_20260912_225951.jsonl,100,1198.022,6.0,measure,17,200.0,-346.41,no_signal
1,r01_20260912_225951.jsonl,101,1204.022,6.0,measure,1,200.0,-346.41,no_signal
1,r01_20260912_225951.jsonl,102,1210.022,6.0,measure,5,200.0,-346.41,direction
1,r01_20260912_225951.jsonl,103,1216.022,6.0,measure,18,200.0,-346.41,direction
1,r01_20260912_225951.jsonl,104,1405.917,189.895,measure,17,919.239,-919.239,no_signal
1,r01_20260912_225951.jsonl,105,1411.917,6.0,measure,16,919.239,-919.239,no_signal
1,r01_20260912_225951.jsonl,106,1417.917,6.0,measure,15,919.239,-919.239,no_signal
1,r01_20260912_225951.jsonl,107,1423.917,6.0,measure,13,919.239,-919.239,no_signal
1,r01_20260912_225951.jsonl,108,1429.917,6.0,measure,12,919.239,-919.239,no_signal
1,r01_20260912_225951.jsonl,109,1435.917,6.0,measure,9,919.239,-919.239,no_signal
1,r01_20260912_225951.jsonl,110,1441.917,6.0,measure,7,919.239,-919.239,no_signal
1,r01_20260912_225951.jsonl,111,1447.917,6.0,measure,6,919.239,-919.239,no_signal
1,r01_20260912_225951.jsonl,112,1453.917,6.0,measure,1,919.239,-919.239,no_signal
1,r01_20260912_225951.jsonl,113,1459.917,6.0,measure,5,919.239,-919.239,direction
