run,log_file,category,seconds,pct_of_run
1,r01_20260912_225951.jsonl,移动,5222.656,74.82
1,r01_20260912_225951.jsonl,测向,1405.0,20.13
1,r01_20260912_225951.jsonl,换频,272.0,3.9
1,r01_20260912_225951.jsonl,清除(成功),75.0,1.07
1,r01_20260912_225951.jsonl,清除(失败),6.0,0.09
1,r01_20260912_225951.jsonl,未解释/余量,-0.0,-0.0
2,r02_20260912_230001.jsonl,移动,6112.253,75.33
2,r02_20260912_230001.jsonl,测向,1625.0,20.03
2,r02_20260912_230001.jsonl,换频,314.0,3.87
2,r02_20260912_230001.jsonl,清除(成功),60.0,0.74
2,r02_20260912_230001.jsonl,清除(失败),3.0,0.04
2,r02_20260912_230001.jsonl,未解释/余量,-0.0,-0.0
3,r03_20260912_230021.jsonl,移动,4805.244,76.88
3,r03_20260912_230021.jsonl,测向,1145.0,18.32
3,r03_20260912_230021.jsonl,换频,216.0,3.46
3,r03_20260912_230021.jsonl,清除(成功),75.0,1.2
3,r03_20260912_230021.jsonl,清除(失败),9.0,0.14
3,r03_20260912_230021.jsonl,未解释/余量,-0.0,-0.0
4,r04_20260912_230035.jsonl,移动,5819.233,69.94
4,r04_20260912_230035.jsonl,测向,2055.0,24.7
4,r04_20260912_230035.jsonl,换频,396.0,4.76
4,r04_20260912_230035.jsonl,清除(成功),50.0,0.6
4,r04_20260912_230035.jsonl,清除(失败),0.0,0.0
4,r04_20260912_230035.jsonl,未解释/余量,0.0,0.0
5,r05_20260912_230050.jsonl,移动,5564.466,79.4
5,r05_20260912_230050.jsonl,测向,1145.0,16.34
5,r05_20260912_230050.jsonl,换频,215.0,3.07
5,r05_20260912_230050.jsonl,清除(成功),75.0,1.07
5,r05_20260912_230050.jsonl,清除(失败),9.0,0.13
5,r05_20260912_230050.jsonl,未解释/余量,-0.0,-0.0
6,r06_20260912_230104.jsonl,移动,4994.674,70.91
6,r06_20260912_230104.jsonl,测向,1675.0,23.78
6,r06_20260912_230104.jsonl,换频,319.0,4.53
6,r06_20260912_230104.jsonl,清除(成功),55.0,0.78
6,r06_20260912_230104.jsonl,清除(失败),0.0,0.0
6,r06_20260912_230104.jsonl,未解释/余量,0.0,0.0
7,r07_20260912_230119.jsonl,移动,4621.478,68.27
7,r07_20260912_230119.jsonl,测向,1750.0,25.85
7,r07_20260912_230119.jsonl,换频,343.0,5.07
7,r07_20260912_230119.jsonl,清除(成功),55.0,0.81
7,r07_20260912_230119.jsonl,清除(失败),0.0,0.0
7,r07_20260912_230119.jsonl,未解释/余量,-0.0,-0.0
8,r08_20260912_230136.jsonl,移动,5406.957,78.05
8,r08_20260912_230136.jsonl,测向,1215.0,17.54
8,r08_20260912_230136.jsonl,换频,228.0,3.29
8,r08_20260912_230136.jsonl,清除(成功),75.0,1.08
8,r08_20260912_230136.jsonl,清除(失败),3.0,0.04
8,r08_20260912_230136.jsonl,未解释/余量,0.0,0.0
9,r09_20260912_230156.jsonl,移动,8307.211,82.07
9,r09_20260912_230156.jsonl,测向,1490.0,14.72
9,r09_20260912_230156.jsonl,换频,250.0,2.47
9,r09_20260912_230156.jsonl,清除(成功),75.0,0.74
9,r09_20260912_230156.jsonl,清除(失败),0.0,0.0
9,r09_20260912_230156.jsonl,未解释/余量,-0.0,-0.0
10,r10_20260912_230210.jsonl,移动,5225.406,73.78
10,r10_20260912_230210.jsonl,测向,1495.0,21.11
10,r10_20260912_230210.jsonl,换频,286.0,4.04
10,r10_20260912_230210.jsonl,清除(成功),70.0,0.99
10,r10_20260912_230210.jsonl,清除(失败),6.0,0.08
10,r10_20260912_230210.jsonl,未解释/余量,0.0,0.0
