run,log_file,start_time,cleared,detected,missed,vt_total_s,vt_total_h,avg_per_source_s,avg_locate_clear_s,n_measure,n_clear,n_clear_fail,clear_success_rate,avg_bearings_per_source,n_switch,move_distance_m,move_time_s,measure_time_s,switch_time_s,clear_time_s,other_time_s,init_time_s,hunt_time_s,ring_time_s,real_elapsed_s,n_records
1,r01_20260912_225951.jsonl,2026-09-12T22:59:51.123919,15,15,0,6980.656,1.9391,465.377,2456.922,281,17,2,0.882,3.8,272,26113.3,5222.7,1405.0,272.0,81.0,-0.0,119.0,6861.7,0.0,4.88,300
2,r02_20260912_230001.jsonl,2026-09-12T23:00:10.411231,12,12,0,8114.253,2.254,676.188,3910.408,325,13,1,0.923,3.67,314,30561.3,6112.3,1625.0,314.0,63.0,-0.0,119.0,7995.3,0.0,5.59,340
3,r03_20260912_230021.jsonl,2026-09-12T23:00:26.429282,15,15,0,6250.244,1.7362,416.683,2368.214,229,18,3,0.833,3.47,216,24026.2,4805.2,1145.0,216.0,84.0,-0.0,119.0,6131.2,0.0,3.57,249
4,r04_20260912_230035.jsonl,2026-09-12T23:00:39.582800,10,10,0,8320.233,2.3112,832.023,2093.874,411,10,0,1.0,3.9,396,29096.2,5819.2,2055.0,396.0,50.0,0.0,119.0,8201.2,0.0,5.42,423
5,r05_20260912_230050.jsonl,2026-09-12T23:00:55.927405,15,15,0,7008.466,1.9468,467.231,2884.12,229,18,3,0.833,3.2,215,27822.3,5564.5,1145.0,215.0,84.0,-0.0,119.0,6889.5,0.0,3.07,249
6,r06_20260912_230104.jsonl,2026-09-12T23:01:08.937708,11,11,0,7043.674,1.9566,640.334,2701.111,335,11,0,1.0,3.64,319,24973.4,4994.7,1675.0,319.0,55.0,0.0,119.0,6924.7,0.0,5.06,348
7,r07_20260912_230119.jsonl,2026-09-12T23:01:24.502868,11,11,0,6769.478,1.8804,615.407,3046.205,350,11,0,1.0,4.09,343,23107.4,4621.5,1750.0,343.0,55.0,-0.0,119.0,6650.5,0.0,6.5,363
8,r08_20260912_230136.jsonl,2026-09-12T23:01:46.555191,15,15,0,6927.957,1.9244,461.864,2857.105,243,16,1,0.938,3.67,228,27034.8,5407.0,1215.0,228.0,78.0,0.0,119.0,6809.0,0.0,4.44,261
9,r09_20260912_230156.jsonl,2026-09-12T23:02:00.363035,15,16,1,10122.211,2.8117,674.814,2697.933,298,15,0,1.0,4.2,250,41536.1,8307.2,1490.0,250.0,75.0,-0.0,119.0,10003.2,0.0,4.64,315
10,r10_20260912_230210.jsonl,2026-09-12T23:02:15.141263,14,14,0,7082.406,1.9673,505.886,3714.516,299,16,2,0.875,4.14,286,26127.0,5225.4,1495.0,286.0,76.0,0.0,119.0,6963.4,0.0,4.86,317
