run,log_file,channel,detected,first_detect_vt_s,first_detect_radius_m,n_bearings,cleared,clear_vt_s,locate_clear_time_s,n_clear_attempts,n_clear_fail,clear_success_rate
1,r01_20260912_225951.jsonl,1,1,3828.046,1300.0,4,1,4782.218,954.171,1,0,1.0
1,r01_20260912_225951.jsonl,2,1,11.0,0.0,3,1,1881.67,1870.67,1,0,1.0
1,r01_20260912_225951.jsonl,3,1,17.0,0.0,3,1,680.658,663.658,1,0,1.0
1,r01_20260912_225951.jsonl,4,1,23.0,0.0,4,1,6033.639,6010.639,2,1,0.5
1,r01_20260912_225951.jsonl,5,1,1192.022,400.0,5,1,2390.828,1198.806,1,0,1.0
1,r01_20260912_225951.jsonl,6,0,,,0,0,,,0,0,
1,r01_20260912_225951.jsonl,7,0,,,0,0,,,0,0,
1,r01_20260912_225951.jsonl,8,1,47.0,0.0,3,1,982.257,935.257,1,0,1.0
1,r01_20260912_225951.jsonl,9,0,,,0,0,,,0,0,
1,r01_20260912_225951.jsonl,10,1,59.0,0.0,4,1,3283.011,3224.011,1,0,1.0
1,r01_20260912_225951.jsonl,11,1,65.0,0.0,4,1,1596.599,1531.599,1,0,1.0
1,r01_20260912_225951.jsonl,12,0,,,0,0,,,0,0,
1,r01_20260912_225951.jsonl,13,1,4925.906,1300.0,2,1,5660.258,734.352,2,1,0.5
1,r01_20260912_225951.jsonl,14,1,563.0,400.0,3,1,5026.02,4463.02,1,0,1.0
1,r01_20260912_225951.jsonl,15,1,4931.906,1300.0,4,1,5760.444,828.538,1,0,1.0
1,r01_20260912_225951.jsonl,16,1,4937.906,1300.0,3,1,5499.657,561.751,1,0,1.0
1,r01_20260912_225951.jsonl,17,0,,,0,0,,,0,0,
1,r01_20260912_225951.jsonl,18,1,107.0,0.0,6,1,3417.061,3310.061,1,0,1.0
1,r01_20260912_225951.jsonl,19,1,599.0,400.0,4,1,5066.801,4467.801,1,0,1.0
1,r01_20260912_225951.jsonl,20,1,119.0,0.0,5,1,6218.496,6099.496,1,0,1.0
2,r02_20260912_230001.jsonl,1,0,,,0,0,,,0,0,
2,r02_20260912_230001.jsonl,2,1,3807.871,1300.0,3,1,4439.744,631.872,1,0,1.0
2,r02_20260912_230001.jsonl,3,1,17.0,0.0,4,1,1028.24,1011.24,1,0,1.0
2,r02_20260912_230001.jsonl,4,0,,,0,0,,,0,0,
2,r02_20260912_230001.jsonl,5,1,29.0,0.0,4,1,7318.328,7289.328,1,0,1.0
2,r02_20260912_230001.jsonl,6,1,3789.871,1300.0,5,1,8114.253,4324.381,1,0,1.0
2,r02_20260912_230001.jsonl,7,1,41.0,0.0,4,1,7646.518,7605.518,2,1,0.5
2,r02_20260912_230001.jsonl,8,0,,,0,0,,,0,0,
2,r02_20260912_230001.jsonl,9,1,53.0,0.0,3,1,6452.162,6399.162,1,0,1.0
2,r02_20260912_230001.jsonl,10,1,3460.094,1900.0,4,1,6669.121,3209.027,1,0,1.0
2,r02_20260912_230001.jsonl,11,1,65.0,0.0,3,1,695.618,630.618,1,0,1.0
2,r02_20260912_230001.jsonl,12,0,,,0,0,,,0,0,
2,r02_20260912_230001.jsonl,13,1,234.0,400.0,4,1,3670.551,3436.551,1,0,1.0
2,r02_20260912_230001.jsonl,14,0,,,0,0,,,0,0,
2,r02_20260912_230001.jsonl,15,1,89.0,0.0,4,1,6566.527,6477.527,1,0,1.0
2,r02_20260912_230001.jsonl,16,1,95.0,0.0,3,1,2587.694,2492.694,1,0,1.0
2,r02_20260912_230001.jsonl,17,0,,,0,0,,,0,0,
2,r02_20260912_230001.jsonl,18,1,216.0,400.0,3,1,3632.975,3416.975,1,0,1.0
2,r02_20260912_230001.jsonl,19,0,,,0,0,,,0,0,
2,r02_20260912_230001.jsonl,20,0,,,0,0,,,0,0,
3,r03_20260912_230021.jsonl,1,1,5.0,0.0,3,1,922.42,917.42,1,0,1.0
3,r03_20260912_230021.jsonl,2,1,265.0,400.0,4,1,2165.022,1900.022,1,0,1.0
3,r03_20260912_230021.jsonl,3,1,17.0,0.0,3,1,966.211,949.211,1,0,1.0
3,r03_20260912_230021.jsonl,4,0,,,0,0,,,0,0,
3,r03_20260912_230021.jsonl,5,1,4672.679,1300.0,3,1,5314.024,641.346,2,1,0.5
3,r03_20260912_230021.jsonl,6,0,,,0,0,,,0,0,
3,r03_20260912_230021.jsonl,7,0,,,0,0,,,0,0,
3,r03_20260912_230021.jsonl,8,1,47.0,0.0,3,1,702.868,655.868,1,0,1.0
3,r03_20260912_230021.jsonl,9,1,53.0,0.0,2,1,304.302,251.302,1,0,1.0
3,r03_20260912_230021.jsonl,10,1,59.0,0.0,3,1,1377.253,1318.253,1,0,1.0
3,r03_20260912_230021.jsonl,11,0,,,0,0,,,0,0,
3,r03_20260912_230021.jsonl,12,1,448.604,400.0,2,1,1720.041,1271.437,2,1,0.5
3,r03_20260912_230021.jsonl,13,1,606.604,400.0,4,1,5797.602,5190.998,1,0,1.0
3,r03_20260912_230021.jsonl,14,1,843.437,400.0,3,1,4198.98,3355.544,1,0,1.0
3,r03_20260912_230021.jsonl,15,0,,,0,0,,,0,0,
3,r03_20260912_230021.jsonl,16,1,95.0,0.0,5,1,2596.644,2501.644,1,0,1.0
3,r03_20260912_230021.jsonl,17,1,1182.141,400.0,5,1,3560.349,2378.209,1,0,1.0
3,r03_20260912_230021.jsonl,18,1,107.0,0.0,5,1,5574.046,5467.046,1,0,1.0
3,r03_20260912_230021.jsonl,19,1,113.0,0.0,3,1,4401.21,4288.21,2,1,0.5
3,r03_20260912_230021.jsonl,20,1,119.0,0.0,4,1,4555.696,4436.696,1,0,1.0
4,r04_20260912_230035.jsonl,1,1,3733.547,1900.0,4,1,5484.599,1751.051,1,0,1.0
4,r04_20260912_230035.jsonl,2,1,1653.591,1300.0,4,1,2608.511,954.92,1,0,1.0
4,r04_20260912_230035.jsonl,3,1,4918.616,1900.0,3,1,6316.594,1397.978,1,0,1.0
4,r04_20260912_230035.jsonl,4,1,907.565,400.0,5,1,7798.029,6890.464,1,0,1.0
4,r04_20260912_230035.jsonl,5,0,,,0,0,,,0,0,
4,r04_20260912_230035.jsonl,6,1,4434.444,1900.0,3,1,5151.534,717.09,1,0,1.0
4,r04_20260912_230035.jsonl,7,0,,,0,0,,,0,0,
4,r04_20260912_230035.jsonl,8,1,47.0,0.0,7,1,1501.815,1454.815,1,0,1.0
4,r04_20260912_230035.jsonl,9,0,,,0,0,,,0,0,
4,r04_20260912_230035.jsonl,10,1,3697.547,1900.0,3,1,4122.496,424.948,1,0,1.0
4,r04_20260912_230035.jsonl,11,0,,,0,0,,,0,0,
4,r04_20260912_230035.jsonl,12,0,,,0,0,,,0,0,
4,r04_20260912_230035.jsonl,13,1,6091.188,1900.0,3,1,6733.249,642.061,1,0,1.0
4,r04_20260912_230035.jsonl,14,1,83.0,0.0,3,1,391.904,308.904,1,0,1.0
4,r04_20260912_230035.jsonl,15,0,,,0,0,,,0,0,
4,r04_20260912_230035.jsonl,16,0,,,0,0,,,0,0,
