指标,样本数,均值,标准差,最小值,25分位,中位数,75分位,最大值
cleared,10,13.3,2.058,10.0,11.25,14.5,15.0,15.0
detected,10,13.4,2.171,10.0,11.25,14.5,15.0,16.0
missed,10,0.1,0.316,0.0,0.0,0.0,0.0,1.0
vt_total_s,10,7461.958,1116.957,6250.244,6941.132,7026.07,7856.291,10122.211
vt_total_h,10,2.073,0.31,1.736,1.928,1.952,2.182,2.812
avg_per_source_s,10,575.581,132.679,416.683,465.841,560.647,666.194,832.023
avg_locate_clear_s,10,2873.041,568.615,2093.874,2517.175,2779.108,3005.684,3910.408
n_measure,10,300.0,58.088,229.0,252.5,298.5,332.5,411.0
n_clear,10,14.5,3.028,10.0,11.5,15.5,16.75,18.0
n_clear_fail,10,1.2,1.229,0.0,0.0,1.0,2.0,3.0
clear_success_rate,10,0.928,0.07,0.833,0.877,0.93,1.0,1.0
avg_bearings_per_source,10,3.778,0.315,3.2,3.647,3.735,4.042,4.2
n_switch,10,283.9,59.605,215.0,233.5,279.0,317.75,396.0
move_distance_m,10,28039.8,5248.195,23107.4,25258.375,26580.9,28777.725,41536.1
move_time_s,10,5607.97,1049.632,4621.5,5051.7,5316.2,5755.525,8307.2
measure_time_s,10,1500.0,290.44,1145.0,1262.5,1492.5,1662.5,2055.0
switch_time_s,10,283.9,59.605,215.0,233.5,279.0,317.75,396.0
clear_time_s,10,70.1,13.068,50.0,57.0,75.5,80.25,84.0
other_time_s,10,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
init_time_s,10,119.0,0.0,119.0,119.0,119.0,119.0,119.0
hunt_time_s,10,7342.97,1116.951,6131.2,6822.175,6907.1,7737.325,10003.2
ring_time_s,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_elapsed_s,10,4.803,0.98,3.07,4.49,4.87,5.33,6.5
