run,log_file,phase,seconds,pct_of_run
1,r01_20260912_225951.jsonl,初始扫描(原点20频道),119.0,1.7
1,r01_20260912_225951.jsonl,证书巡回(26点环抱+定位清除),6861.656,98.3
2,r02_20260912_230001.jsonl,初始扫描(原点20频道),119.0,1.47
2,r02_20260912_230001.jsonl,证书巡回(26点环抱+定位清除),7995.253,98.53
3,r03_20260912_230021.jsonl,初始扫描(原点20频道),119.0,1.9
3,r03_20260912_230021.jsonl,证书巡回(26点环抱+定位清除),6131.244,98.1
4,r04_20260912_230035.jsonl,初始扫描(原点20频道),119.0,1.43
4,r04_20260912_230035.jsonl,证书巡回(26点环抱+定位清除),8201.233,98.57
5,r05_20260912_230050.jsonl,初始扫描(原点20频道),119.0,1.7
5,r05_20260912_230050.jsonl,证书巡回(26点环抱+定位清除),6889.466,98.3
6,r06_20260912_230104.jsonl,初始扫描(原点20频道),119.0,1.69
6,r06_20260912_230104.jsonl,证书巡回(26点环抱+定位清除),6924.674,98.31
7,r07_20260912_230119.jsonl,初始扫描(原点20频道),119.0,1.76
7,r07_20260912_230119.jsonl,证书巡回(26点环抱+定位清除),6650.478,98.24
8,r08_20260912_230136.jsonl,初始扫描(原点20频道),119.0,1.72
8,r08_20260912_230136.jsonl,证书巡回(26点环抱+定位清除),6808.957,98.28
9,r09_20260912_230156.jsonl,初始扫描(原点20频道),119.0,1.18
9,r09_20260912_230156.jsonl,证书巡回(26点环抱+定位清除),10003.211,98.82
10,r10_20260912_230210.jsonl,初始扫描(原点20频道),119.0,1.68
10,r10_20260912_230210.jsonl,证书巡回(26点环抱+定位清除),6963.406,98.32
