round,log_file,start_time,end_time,enter_ok,exit_ok,cleared,vt_total_s,vt_total_h,avg_per_source_s,measure_cnt,switch_cnt,clear_attempts,clear_fail,channels_detected,real_elapsed_s,records,error
1,r01_20260912_225951.jsonl,20260912_225951,,1,1,15,6980.656,1.9391,465.377,281,272,,2,15,5.08,300,
2,r02_20260912_230001.jsonl,20260912_230001,,1,1,12,8114.253,2.254,676.188,325,314,,1,12,5.85,340,
3,r03_20260912_230021.jsonl,20260912_230021,,1,1,15,6250.244,1.7362,416.683,229,216,,3,15,4.06,249,
4,r04_20260912_230035.jsonl,20260912_230035,,1,1,10,8320.233,2.3112,832.023,411,396,,0,10,6.23,423,
5,r05_20260912_230050.jsonl,20260912_230050,,1,1,15,7008.466,1.9468,467.231,229,215,,3,15,3.93,249,
6,r06_20260912_230104.jsonl,20260912_230104,,1,1,11,7043.674,1.9566,640.334,335,319,,0,11,5.41,348,
7,r07_20260912_230119.jsonl,20260912_230119,,1,1,11,6769.478,1.8804,615.407,350,343,,0,11,6.85,363,
8,r08_20260912_230136.jsonl,20260912_230136,,1,1,15,6927.957,1.9244,461.864,243,228,,1,15,4.69,261,
9,r09_20260912_230156.jsonl,20260912_230156,,1,1,15,10122.211,2.8117,674.814,298,250,,0,15,5.61,315,
10,r10_20260912_230210.jsonl,20260912_230210,,1,1,14,7082.406,1.9673,505.886,299,286,,2,14,5.65,317,
