run,log_file,start_time,cleared,detected,missed,vt_total_s,vt_total_h,avg_per_source_s,avg_locate_clear_s,n_measure,n_clear,n_clear_fail,clear_success_rate,avg_bearings_per_source,n_switch,move_distance_m,move_time_s,measure_time_s,switch_time_s,clear_time_s,other_time_s,init_time_s,hunt_time_s,ring_time_s,real_elapsed_s,n_records
1,r01_20260912_223906.jsonl,2026-09-12T22:39:06.805994,10,11,1,9574.156,2.6595,957.416,4514.997,385,10,0,1.0,3.6,350,36245.8,7249.2,1925.0,350.0,50.0,-0.0,119.0,9455.2,0.0,7.19,397
2,r02_20260912_223919.jsonl,2026-09-12T22:39:40.864004,11,11,0,7010.81,1.9474,637.346,2414.636,357,11,0,1.0,4.18,345,24129.0,4825.8,1785.0,345.0,55.0,-0.0,119.0,6891.8,0.0,6.14,370
3,r03_20260912_223952.jsonl,2026-09-12T22:40:01.105530,13,13,0,7155.521,1.9876,550.425,3009.419,270,15,2,0.867,3.38,259,27377.6,5475.5,1350.0,259.0,71.0,-0.0,119.0,7036.5,0.0,4.89,287
4,r04_20260912_224011.jsonl,2026-09-12T22:40:26.423126,12,13,1,11202.072,3.1117,933.506,2477.504,404,13,1,0.923,4.0,355,43820.4,8764.1,2020.0,355.0,63.0,0.0,119.0,11083.1,0.0,7.58,419
5,r05_20260912_224039.jsonl,2026-09-12T22:40:45.314235,13,13,0,7015.625,1.9488,539.663,2293.428,350,15,2,0.867,3.46,332,24313.1,4862.6,1750.0,332.0,71.0,-0.0,119.0,6896.6,0.0,5.69,367
6,r06_20260912_224056.jsonl,2026-09-12T22:41:03.543255,11,11,0,7682.968,2.1342,698.452,1969.644,370,12,1,0.917,4.0,355,27099.8,5420.0,1850.0,355.0,58.0,-0.0,119.0,7564.0,0.0,7.46,384
7,r07_20260912_224116.jsonl,2026-09-12T22:41:21.565430,12,12,0,6933.07,1.9259,577.756,1871.365,339,12,0,1.0,4.0,330,24240.4,4848.1,1695.0,330.0,60.0,0.0,119.0,6814.1,0.0,6.43,353
8,r08_20260912_224133.jsonl,2026-09-12T22:41:38.773236,15,15,0,7531.444,2.0921,502.096,2501.691,306,18,3,0.833,3.6,292,28127.2,5625.4,1530.0,292.0,84.0,-0.0,119.0,7412.4,0.0,5.23,326
9,r09_20260912_224149.jsonl,2026-09-12T22:41:57.052622,13,13,0,7721.663,2.1449,593.974,1620.127,391,14,1,0.929,3.85,380,26593.3,5318.7,1955.0,380.0,68.0,-0.0,119.0,7602.7,0.0,6.95,407
10,r10_20260912_224209.jsonl,2026-09-12T22:42:16.078376,16,16,0,8776.887,2.438,548.555,3578.547,261,17,1,0.941,3.44,243,35729.4,7145.9,1305.0,243.0,83.0,-0.0,119.0,8657.9,0.0,4.92,280
