run,log_file,channel,detected,first_detect_vt_s,first_detect_radius_m,n_bearings,cleared,clear_vt_s,locate_clear_time_s,n_clear_attempts,n_clear_fail,clear_success_rate
1,r01_20260912_223906.jsonl,1,0,,,0,0,,,0,0,
1,r01_20260912_223906.jsonl,2,0,,,0,0,,,0,0,
1,r01_20260912_223906.jsonl,3,0,,,0,0,,,0,0,
1,r01_20260912_223906.jsonl,4,1,640.0,400.0,4,1,4543.946,3903.946,1,0,1.0
1,r01_20260912_223906.jsonl,5,0,,,0,0,,,0,0,
1,r01_20260912_223906.jsonl,6,1,774.0,400.0,4,1,3288.793,2514.793,1,0,1.0
1,r01_20260912_223906.jsonl,7,0,,,0,0,,,0,0,
1,r01_20260912_223906.jsonl,8,1,47.0,0.0,3,1,5828.09,5781.09,1,0,1.0
1,r01_20260912_223906.jsonl,9,1,53.0,0.0,4,1,7474.615,7421.615,1,0,1.0
1,r01_20260912_223906.jsonl,10,0,,,0,0,,,0,0,
1,r01_20260912_223906.jsonl,11,1,4882.627,1900.0,3,1,5403.589,520.963,1,0,1.0
1,r01_20260912_223906.jsonl,12,0,,,0,0,,,0,0,
1,r01_20260912_223906.jsonl,13,1,240.0,400.0,4,1,6770.337,6530.337,1,0,1.0
1,r01_20260912_223906.jsonl,14,0,,,0,0,,,0,0,
1,r01_20260912_223906.jsonl,15,0,,,0,0,,,0,0,
1,r01_20260912_223906.jsonl,16,1,404.0,400.0,3,1,5092.73,4688.731,1,0,1.0
1,r01_20260912_223906.jsonl,17,1,101.0,0.0,4,1,7313.045,7212.045,1,0,1.0
1,r01_20260912_223906.jsonl,18,1,216.0,400.0,4,0,,,0,0,
1,r01_20260912_223906.jsonl,19,1,616.0,400.0,3,1,4306.88,3690.88,1,0,1.0
1,r01_20260912_223906.jsonl,20,1,4147.381,1300.0,4,1,7032.948,2885.567,1,0,1.0
2,r02_20260912_223919.jsonl,1,1,1184.539,400.0,5,1,6048.898,4864.359,1,0,1.0
2,r02_20260912_223919.jsonl,2,0,,,0,0,,,0,0,
2,r02_20260912_223919.jsonl,3,1,6157.212,1900.0,4,1,6539.183,381.971,1,0,1.0
2,r02_20260912_223919.jsonl,4,1,23.0,0.0,4,1,3611.72,3588.72,1,0,1.0
2,r02_20260912_223919.jsonl,5,1,1166.539,400.0,5,1,5606.898,4440.359,1,0,1.0
2,r02_20260912_223919.jsonl,6,1,35.0,0.0,2,1,722.514,687.514,1,0,1.0
2,r02_20260912_223919.jsonl,7,1,1287.539,400.0,6,1,2920.946,1633.407,1,0,1.0
2,r02_20260912_223919.jsonl,8,1,4557.025,1300.0,5,1,7010.81,2453.785,1,0,1.0
2,r02_20260912_223919.jsonl,9,0,,,0,0,,,0,0,
2,r02_20260912_223919.jsonl,10,0,,,0,0,,,0,0,
2,r02_20260912_223919.jsonl,11,1,246.0,400.0,6,1,4136.467,3890.467,1,0,1.0
2,r02_20260912_223919.jsonl,12,0,,,0,0,,,0,0,
2,r02_20260912_223919.jsonl,13,1,1751.539,1300.0,3,1,2124.36,372.821,1,0,1.0
