run,log_file,phase,seconds,pct_of_run
1,r01_20260912_223906.jsonl,初始扫描(原点20频道),119.0,1.24
1,r01_20260912_223906.jsonl,证书巡回(26点环抱+定位清除),9455.156,98.76
2,r02_20260912_223919.jsonl,初始扫描(原点20频道),119.0,1.7
2,r02_20260912_223919.jsonl,证书巡回(26点环抱+定位清除),6891.81,98.3
3,r03_20260912_223952.jsonl,初始扫描(原点20频道),119.0,1.66
3,r03_20260912_223952.jsonl,证书巡回(26点环抱+定位清除),7036.521,98.34
4,r04_20260912_224011.jsonl,初始扫描(原点20频道),119.0,1.06
4,r04_20260912_224011.jsonl,证书巡回(26点环抱+定位清除),11083.072,98.94
5,r05_20260912_224039.jsonl,初始扫描(原点20频道),119.0,1.7
5,r05_20260912_224039.jsonl,证书巡回(26点环抱+定位清除),6896.625,98.3
6,r06_20260912_224056.jsonl,初始扫描(原点20频道),119.0,1.55
6,r06_20260912_224056.jsonl,证书巡回(26点环抱+定位清除),7563.968,98.45
7,r07_20260912_224116.jsonl,初始扫描(原点20频道),119.0,1.72
7,r07_20260912_224116.jsonl,证书巡回(26点环抱+定位清除),6814.07,98.28
8,r08_20260912_224133.jsonl,初始扫描(原点20频道),119.0,1.58
8,r08_20260912_224133.jsonl,证书巡回(26点环抱+定位清除),7412.444,98.42
9,r09_20260912_224149.jsonl,初始扫描(原点20频道),119.0,1.54
9,r09_20260912_224149.jsonl,证书巡回(26点环抱+定位清除),7602.663,98.46
10,r10_20260912_224209.jsonl,初始扫描(原点20频道),119.0,1.36
10,r10_20260912_224209.jsonl,证书巡回(26点环抱+定位清除),8657.887,98.64
