round,log_file,start_time,end_time,enter_ok,exit_ok,cleared,vt_total_s,vt_total_h,avg_per_source_s,measure_cnt,switch_cnt,clear_attempts,clear_fail,channels_detected,real_elapsed_s,records,error
1,r01_20260912_223906.jsonl,20260912_223906,,1,1,10,9574.156,2.6595,957.416,385,350,,0,10,7.76,397,
2,r02_20260912_223919.jsonl,20260912_223919,,1,1,11,7010.81,1.9474,637.346,357,345,,0,11,7.06,370,
3,r03_20260912_223952.jsonl,20260912_223952,,1,1,13,7155.521,1.9876,550.425,270,259,,2,13,5.09,287,
4,r04_20260912_224011.jsonl,20260912_224011,,1,1,12,11202.072,3.1117,933.506,404,355,,1,12,7.77,419,
5,r05_20260912_224039.jsonl,20260912_224039,,1,1,13,7015.625,1.9488,539.663,350,332,,2,13,6.02,367,
6,r06_20260912_224056.jsonl,20260912_224056,,1,1,11,7682.968,2.1342,698.452,370,355,,1,11,7.82,384,
7,r07_20260912_224116.jsonl,20260912_224116,,1,1,12,6933.07,1.9259,577.756,339,330,,0,12,7.11,353,
8,r08_20260912_224133.jsonl,20260912_224133,,1,1,15,7531.444,2.0921,502.096,306,292,,3,15,6.1,326,
9,r09_20260912_224149.jsonl,20260912_224149,,1,1,13,7721.663,2.1449,593.974,391,380,,1,13,7.87,407,
10,r10_20260912_224209.jsonl,20260912_224209,,1,1,16,8776.887,2.438,548.555,261,243,,1,16,5.22,280,
