batch,log,truth_n,truth_omni,truth_dir,cleared,detected,vt_s,T_avg_s,n_measure,case
历史600s批次(17:35),robot_p4_20260912_173518.jsonl,16,3,13,16,16,7782.4,486.4,291,ZW2X-ZQ62-JVWW-94U6
历史600s批次(17:35),robot_p4_20260912_173700.jsonl,13,7,6,13,13,8098.0,622.9,349,EWAQ-GXB6-VBA4-AW8W
历史600s批次(17:35),robot_p4_20260912_173747.jsonl,12,9,3,12,12,7039.5,586.6,303,FN6F-RNBR-WYEE-2XFQ
历史600s批次(17:35),robot_p4_20260912_173754.jsonl,16,2,14,16,16,10301.9,643.9,327,3MRR-G66Y-EN8Z-T222
历史600s批次(17:35),robot_p4_20260912_173812.jsonl,15,9,6,14,14,8442.5,603.0,293,JEFV-DPQS-JMTU-EQR3
历史600s批次(17:35),robot_p4_20260912_173828.jsonl,15,12,3,15,15,6788.6,452.6,270,WGB7-Y4SF-SJPS-A2DF
历史600s批次(17:35),robot_p4_20260912_173844.jsonl,16,13,3,16,16,6979.5,436.2,242,5YQ4-FDYF-CBVJ-D9WG
历史600s批次(17:35),robot_p4_20260912_173859.jsonl,15,5,10,13,13,7367.4,566.7,361,NVFB-TBEM-JWN4-W6QV
本批次(22:39+),r01_20260912_223906.jsonl,11,4,7,10,10,9574.2,957.4,385,VKWU-9J6F-GAAW-CMYK
本批次(22:39+),r02_20260912_223919.jsonl,11,7,4,11,11,7010.8,637.3,357,N8BX-D7SF-9ZMK-4JP8
本批次(22:39+),r03_20260912_223952.jsonl,13,8,5,13,13,7155.5,550.4,270,HMNJ-D42F-NY8X-EKV8
本批次(22:39+),r04_20260912_224011.jsonl,13,0,13,12,12,11202.1,933.5,404,E9R6-5J84-PMVC-TTGC
本批次(22:39+),r05_20260912_224039.jsonl,13,7,6,13,13,7015.6,539.7,350,5B8K-WK2J-8W9Y-BWJ5
本批次(22:39+),r06_20260912_224056.jsonl,11,6,5,11,11,7683.0,698.5,370,U62H-RK22-X5JT-RQWQ
本批次(22:39+),r07_20260912_224116.jsonl,12,10,2,12,12,6933.1,577.8,339,BYRA-XJ4D-S6UR-6JZ2
本批次(22:39+),r08_20260912_224133.jsonl,15,7,8,15,15,7531.4,502.1,306,DMUN-7UWN-SZM9-GRE5
本批次(22:39+),r09_20260912_224149.jsonl,13,0,13,13,13,7721.7,594.0,391,ZB8E-QJ5G-HQA4-MG8Z
本批次(22:39+),r10_20260912_224209.jsonl,16,3,13,16,16,8776.9,548.6,261,XHFB-9CXS-NUAU-BA63
老代码复跑(23:00),r01_20260912_225951.jsonl,15,13,2,15,15,6980.7,465.4,281,X39K-H923-4NC6-PGZX
老代码复跑(23:00),r02_20260912_230001.jsonl,12,6,6,12,12,8114.3,676.2,325,8TRG-WAMK-SZN3-KCPV
老代码复跑(23:00),r03_20260912_230021.jsonl,15,14,1,15,15,6250.2,416.7,229,WPJS-CZG6-BW77-77D2
老代码复跑(23:00),r04_20260912_230035.jsonl,10,0,10,10,10,8320.2,832.0,411,AVDR-8KXQ-3M7G-SWN7
老代码复跑(23:00),r05_20260912_230050.jsonl,15,14,1,15,15,7008.5,467.2,229,D9ER-UUUY-T99R-ZWZC
老代码复跑(23:00),r06_20260912_230104.jsonl,11,4,7,11,11,7043.7,640.3,335,PHYX-5BBZ-W2WX-FQYA
老代码复跑(23:00),r07_20260912_230119.jsonl,11,10,1,11,11,6769.5,615.4,350,GYAW-NS3N-34DP-8QJK
老代码复跑(23:00),r08_20260912_230136.jsonl,15,9,6,15,15,6928.0,461.9,243,F5P8-CJV5-CP37-DYQ8
老代码复跑(23:00),r09_20260912_230156.jsonl,16,10,6,15,15,10122.2,674.8,298,P6U7-A6RE-QJCR-NQH6
老代码复跑(23:00),r10_20260912_230210.jsonl,14,5,9,14,14,7082.4,505.9,299,AV95-MCXW-94Q8-VKKE
修复版验证(23:24+),r01_20260912_232452.jsonl,10,2,8,10,10,7790.0,779.0,418,SHAM-X9P3-S4SU-ACWK
修复版验证(23:24+),r02_20260912_232504.jsonl,10,0,10,10,10,9361.5,936.2,423,976X-DRNC-Z8EN-GWB6
修复版验证(23:24+),r03_20260912_232521.jsonl,15,3,12,15,15,7950.4,530.0,333,6YBC-RZ6J-X7BV-YEXQ
修复版验证(23:24+),r04_20260912_232537.jsonl,11,10,1,11,11,6703.7,609.4,314,HZA2-K9P3-87EU-F8T6
修复版验证(23:24+),r05_20260912_232554.jsonl,14,13,1,14,14,6729.8,480.7,268,V3FT-2YPU-QJHT-34PR
修复版验证(23:24+),r06_20260912_232607.jsonl,11,8,3,11,11,6508.9,591.7,337,QB56-VBBG-CE7G-UW4A
修复版验证(23:24+),r07_20260912_232623.jsonl,13,5,8,13,13,7585.9,583.5,305,RXB6-4V3Q-G3GU-B6EC
修复版验证(23:24+),r08_20260912_232639.jsonl,14,13,1,14,14,6696.9,478.3,259,3CXZ-E2HT-2TSF-QTC8
修复版验证(23:24+),r09_20260912_232654.jsonl,16,15,1,16,16,6459.0,403.7,252,9Q5D-TUWW-N6RM-RVEF
修复版验证(23:24+),r10_20260912_232708.jsonl,13,1,12,13,13,9085.9,698.9,387,9RNY-RA3H-VMP5-GJMV
