run,log_file,category,seconds,pct_of_run
1,r01_20260912_232452.jsonl,移动,5243.044,67.3
1,r01_20260912_232452.jsonl,测向,2090.0,26.83
1,r01_20260912_232452.jsonl,换频,407.0,5.22
1,r01_20260912_232452.jsonl,清除(成功),50.0,0.64
1,r01_20260912_232452.jsonl,清除(失败),0.0,0.0
1,r01_20260912_232452.jsonl,未解释/余量,-0.0,-0.0
2,r02_20260912_232504.jsonl,移动,6788.545,72.52
2,r02_20260912_232504.jsonl,测向,2115.0,22.59
2,r02_20260912_232504.jsonl,换频,402.0,4.29
2,r02_20260912_232504.jsonl,清除(成功),50.0,0.53
2,r02_20260912_232504.jsonl,清除(失败),6.0,0.06
2,r02_20260912_232504.jsonl,未解释/余量,-0.0,-0.0
3,r03_20260912_232521.jsonl,移动,5883.428,74.0
3,r03_20260912_232521.jsonl,测向,1665.0,20.94
3,r03_20260912_232521.jsonl,换频,321.0,4.04
3,r03_20260912_232521.jsonl,清除(成功),75.0,0.94
3,r03_20260912_232521.jsonl,清除(失败),6.0,0.08
3,r03_20260912_232521.jsonl,未解释/余量,-0.0,-0.0
4,r04_20260912_232537.jsonl,移动,4776.699,71.25
4,r04_20260912_232537.jsonl,测向,1570.0,23.42
4,r04_20260912_232537.jsonl,换频,302.0,4.5
4,r04_20260912_232537.jsonl,清除(成功),55.0,0.82
4,r04_20260912_232537.jsonl,清除(失败),0.0,0.0
4,r04_20260912_232537.jsonl,未解释/余量,-0.0,-0.0
5,r05_20260912_232554.jsonl,移动,5050.778,75.05
5,r05_20260912_232554.jsonl,测向,1340.0,19.91
5,r05_20260912_232554.jsonl,换频,263.0,3.91
5,r05_20260912_232554.jsonl,清除(成功),70.0,1.04
5,r05_20260912_232554.jsonl,清除(失败),6.0,0.09
5,r05_20260912_232554.jsonl,未解释/余量,0.0,0.0
6,r06_20260912_232607.jsonl,移动,4441.903,68.24
6,r06_20260912_232607.jsonl,测向,1685.0,25.89
6,r06_20260912_232607.jsonl,换频,327.0,5.02
6,r06_20260912_232607.jsonl,清除(成功),55.0,0.84
6,r06_20260912_232607.jsonl,清除(失败),0.0,0.0
6,r06_20260912_232607.jsonl,未解释/余量,0.0,0.0
7,r07_20260912_232623.jsonl,移动,5692.918,75.05
7,r07_20260912_232623.jsonl,测向,1525.0,20.1
7,r07_20260912_232623.jsonl,换频,294.0,3.88
7,r07_20260912_232623.jsonl,清除(成功),65.0,0.86
7,r07_20260912_232623.jsonl,清除(失败),9.0,0.12
7,r07_20260912_232623.jsonl,未解释/余量,-0.0,-0.0
8,r08_20260912_232639.jsonl,移动,5072.878,75.75
8,r08_20260912_232639.jsonl,测向,1295.0,19.34
8,r08_20260912_232639.jsonl,换频,253.0,3.78
8,r08_20260912_232639.jsonl,清除(成功),70.0,1.05
8,r08_20260912_232639.jsonl,清除(失败),6.0,0.09
8,r08_20260912_232639.jsonl,未解释/余量,-0.0,-0.0
9,r09_20260912_232654.jsonl,移动,4863.032,75.29
9,r09_20260912_232654.jsonl,测向,1260.0,19.51
9,r09_20260912_232654.jsonl,换频,244.0,3.78
9,r09_20260912_232654.jsonl,清除(成功),80.0,1.24
9,r09_20260912_232654.jsonl,清除(失败),12.0,0.19
9,r09_20260912_232654.jsonl,未解释/余量,-0.0,-0.0
10,r10_20260912_232708.jsonl,移动,6698.87,73.73
10,r10_20260912_232708.jsonl,测向,1935.0,21.3
10,r10_20260912_232708.jsonl,换频,375.0,4.13
10,r10_20260912_232708.jsonl,清除(成功),65.0,0.72
10,r10_20260912_232708.jsonl,清除(失败),12.0,0.13
10,r10_20260912_232708.jsonl,未解释/余量,0.0,0.0
