run,log_file,start_time,cleared,detected,missed,vt_total_s,vt_total_h,avg_per_source_s,avg_locate_clear_s,n_measure,n_clear,n_clear_fail,clear_success_rate,avg_bearings_per_source,n_switch,move_distance_m,move_time_s,measure_time_s,switch_time_s,clear_time_s,other_time_s,init_time_s,hunt_time_s,ring_time_s,real_elapsed_s,n_records
1,r01_20260912_232452.jsonl,2026-09-12T23:24:53.046400,10,10,0,7790.044,2.1639,779.004,1688.485,418,10,0,1.0,3.6,407,26215.2,5243.0,2090.0,407.0,50.0,-0.0,119.0,7671.0,0.0,5.95,430
2,r02_20260912_232504.jsonl,2026-09-12T23:25:10.009870,10,10,0,9361.545,2.6004,936.154,4081.585,423,12,2,0.833,3.8,402,33942.7,6788.5,2115.0,402.0,56.0,-0.0,119.0,9242.5,0.0,5.99,437
3,r03_20260912_232521.jsonl,2026-09-12T23:25:26.371214,15,15,0,7950.428,2.2085,530.029,1664.898,333,17,2,0.882,3.2,321,29417.1,5883.4,1665.0,321.0,81.0,-0.0,119.0,7831.4,0.0,5.63,352
4,r04_20260912_232537.jsonl,2026-09-12T23:25:44.761451,11,11,0,6703.699,1.8621,609.427,1760.649,314,11,0,1.0,3.64,302,23883.5,4776.7,1570.0,302.0,55.0,-0.0,119.0,6584.7,0.0,4.24,327
5,r05_20260912_232554.jsonl,2026-09-12T23:25:58.493540,14,14,0,6729.778,1.8694,480.698,3439.029,268,16,2,0.875,3.86,263,25253.9,5050.8,1340.0,263.0,76.0,0.0,119.0,6610.8,0.0,3.51,286
6,r06_20260912_232607.jsonl,2026-09-12T23:26:13.016630,11,11,0,6508.903,1.808,591.718,3619.845,337,11,0,1.0,4.18,327,22209.5,4441.9,1685.0,327.0,55.0,0.0,119.0,6389.9,0.0,4.98,350
7,r07_20260912_232623.jsonl,2026-09-12T23:26:29.873095,13,13,0,7585.918,2.1072,583.532,4138.03,305,16,3,0.812,3.15,294,28464.6,5692.9,1525.0,294.0,74.0,-0.0,119.0,7466.9,0.0,4.13,323
8,r08_20260912_232639.jsonl,2026-09-12T23:26:44.995869,14,14,0,6696.878,1.8602,478.348,2701.977,259,16,2,0.875,3.57,253,25364.4,5072.9,1295.0,253.0,76.0,-0.0,119.0,6577.9,0.0,4.0,277
9,r09_20260912_232654.jsonl,2026-09-12T23:26:58.461003,16,16,0,6459.032,1.7942,403.69,2514.334,252,20,4,0.8,3.44,244,24315.2,4863.0,1260.0,244.0,92.0,-0.0,119.0,6340.0,0.0,4.54,274
10,r10_20260912_232708.jsonl,2026-09-12T23:27:13.327109,13,13,0,9085.87,2.5239,698.913,3869.066,387,17,4,0.765,3.85,375,33494.4,6698.9,1935.0,375.0,77.0,0.0,119.0,8966.9,0.0,6.67,406
