run,log_file,channel,detected,first_detect_vt_s,first_detect_radius_m,n_bearings,cleared,clear_vt_s,locate_clear_time_s,n_clear_attempts,n_clear_fail,clear_success_rate
1,r01_20260912_232452.jsonl,1,1,6278.438,1900.0,3,1,6610.18,331.742,1,0,1.0
1,r01_20260912_232452.jsonl,2,0,,,0,0,,,0,0,
1,r01_20260912_232452.jsonl,3,0,,,0,0,,,0,0,
1,r01_20260912_232452.jsonl,4,0,,,0,0,,,0,0,
1,r01_20260912_232452.jsonl,5,0,,,0,0,,,0,0,
1,r01_20260912_232452.jsonl,6,1,6308.438,1900.0,3,1,6832.172,523.734,1,0,1.0
1,r01_20260912_232452.jsonl,7,0,,,0,0,,,0,0,
1,r01_20260912_232452.jsonl,8,0,,,0,0,,,0,0,
1,r01_20260912_232452.jsonl,9,1,3168.872,1300.0,3,1,4020.236,851.365,1,0,1.0
1,r01_20260912_232452.jsonl,10,0,,,0,0,,,0,0,
1,r01_20260912_232452.jsonl,11,1,5424.248,1900.0,3,1,5771.62,347.372,1,0,1.0
1,r01_20260912_232452.jsonl,12,1,71.0,0.0,5,1,1554.304,1483.304,1,0,1.0
1,r01_20260912_232452.jsonl,13,0,,,0,0,,,0,0,
1,r01_20260912_232452.jsonl,14,1,2157.77,1900.0,3,1,2593.59,435.821,1,0,1.0
1,r01_20260912_232452.jsonl,15,1,429.0,400.0,4,1,4917.159,4488.159,1,0,1.0
1,r01_20260912_232452.jsonl,16,0,,,0,0,,,0,0,
1,r01_20260912_232452.jsonl,17,0,,,0,0,,,0,0,
1,r01_20260912_232452.jsonl,18,1,3875.946,1300.0,3,1,4442.486,566.54,1,0,1.0
1,r01_20260912_232452.jsonl,19,1,823.0,400.0,5,1,7378.233,6555.233,1,0,1.0
1,r01_20260912_232452.jsonl,20,1,119.0,0.0,4,1,1420.579,1301.579,1,0,1.0
2,r02_20260912_232504.jsonl,1,1,912.0,400.0,3,1,3720.662,2808.662,1,0,1.0
2,r02_20260912_232504.jsonl,2,1,1633.886,1300.0,4,1,6362.414,4728.528,1,0,1.0
2,r02_20260912_232504.jsonl,3,0,,,0,0,,,0,0,
2,r02_20260912_232504.jsonl,4,1,4685.876,1900.0,6,1,9361.545,4675.669,3,2,0.333
2,r02_20260912_232504.jsonl,5,0,,,0,0,,,0,0,
2,r02_20260912_232504.jsonl,6,1,1045.0,400.0,3,1,7096.626,6051.626,1,0,1.0
2,r02_20260912_232504.jsonl,7,0,,,0,0,,,0,0,
2,r02_20260912_232504.jsonl,8,0,,,0,0,,,0,0,
2,r02_20260912_232504.jsonl,9,0,,,0,0,,,0,0,
2,r02_20260912_232504.jsonl,10,1,258.0,400.0,3,1,7347.811,7089.811,1,0,1.0
2,r02_20260912_232504.jsonl,11,0,,,0,0,,,0,0,
2,r02_20260912_232504.jsonl,12,0,,,0,0,,,0,0,
2,r02_20260912_232504.jsonl,13,1,1233.0,400.0,4,1,6667.461,5434.461,1,0,1.0
2,r02_20260912_232504.jsonl,14,0,,,0,0,,,0,0,
2,r02_20260912_232504.jsonl,15,1,6812.757,1300.0,3,1,8465.354,1652.597,1,0,1.0
2,r02_20260912_232504.jsonl,16,1,1075.0,400.0,4,1,7541.238,6466.238,1,0,1.0
2,r02_20260912_232504.jsonl,17,0,,,0,0,,,0,0,
2,r02_20260912_232504.jsonl,18,0,,,0,0,,,0,0,
2,r02_20260912_232504.jsonl,19,1,113.0,0.0,5,1,1438.408,1325.408,1,0,1.0
2,r02_20260912_232504.jsonl,20,1,2345.961,1300.0,3,1,2928.805,582.845,1,0,1.0
3,r03_20260912_232521.jsonl,1,1,5.0,0.0,3,1,771.466,766.466,1,0,1.0
3,r03_20260912_232521.jsonl,2,1,5948.461,1300.0,4,1,6974.815,1026.354,1,0,1.0
3,r03_20260912_232521.jsonl,3,1,2169.266,1300.0,3,1,3274.233,1104.968,1,0,1.0
3,r03_20260912_232521.jsonl,4,1,476.0,400.0,3,1,1964.689,1488.689,1,0,1.0
3,r03_20260912_232521.jsonl,5,1,29.0,0.0,4,1,1142.8,1113.8,1,0,1.0
3,r03_20260912_232521.jsonl,6,1,6373.197,1900.0,2,1,7265.162,891.966,1,0,1.0
3,r03_20260912_232521.jsonl,7,0,,,0,0,,,0,0,
3,r03_20260912_232521.jsonl,8,0,,,0,0,,,0,0,
3,r03_20260912_232521.jsonl,9,1,2145.266,1300.0,3,1,3141.149,995.883,1,0,1.0
3,r03_20260912_232521.jsonl,10,1,59.0,0.0,4,1,4707.925,4648.925,1,0,1.0
3,r03_20260912_232521.jsonl,11,0,,,0,0,,,0,0,
3,r03_20260912_232521.jsonl,12,1,1825.442,1900.0,3,1,2674.205,848.763,1,0,1.0
3,r03_20260912_232521.jsonl,13,1,1831.442,1900.0,3,1,2534.783,703.341,1,0,1.0
3,r03_20260912_232521.jsonl,14,1,5427.513,1300.0,4,1,5870.757,443.244,1,0,1.0
3,r03_20260912_232521.jsonl,15,1,5906.461,1300.0,2,1,6261.345,354.885,3,2,0.333
3,r03_20260912_232521.jsonl,16,0,,,0,0,,,0,0,
3,r03_20260912_232521.jsonl,17,1,2969.489,1300.0,2,1,6732.927,3763.438,1,0,1.0
3,r03_20260912_232521.jsonl,18,1,2981.489,1300.0,3,1,7950.428,4968.939,1,0,1.0
3,r03_20260912_232521.jsonl,19,0,,,0,0,,,0,0,
3,r03_20260912_232521.jsonl,20,1,204.0,400.0,5,1,2057.813,1853.813,1,0,1.0
4,r04_20260912_232537.jsonl,1,0,,,0,0,,,0,0,
4,r04_20260912_232537.jsonl,2,0,,,0,0,,,0,0,
4,r04_20260912_232537.jsonl,3,1,3074.19,1300.0,3,1,3359.246,285.056,1,0,1.0
4,r04_20260912_232537.jsonl,4,0,,,0,0,,,0,0,
4,r04_20260912_232537.jsonl,5,0,,,0,0,,,0,0,
4,r04_20260912_232537.jsonl,6,1,35.0,0.0,4,1,4520.871,4485.871,1,0,1.0
4,r04_20260912_232537.jsonl,7,1,41.0,0.0,3,1,313.685,272.685,1,0,1.0
4,r04_20260912_232537.jsonl,8,1,252.0,400.0,5,1,2573.21,2321.21,1,0,1.0
4,r04_20260912_232537.jsonl,9,1,53.0,0.0,5,1,3851.345,3798.345,1,0,1.0
4,r04_20260912_232537.jsonl,10,1,59.0,0.0,2,1,850.159,791.159,1,0,1.0
4,r04_20260912_232537.jsonl,11,1,1601.368,1300.0,4,1,2239.819,638.451,1,0,1.0
4,r04_20260912_232537.jsonl,12,1,71.0,0.0,4,1,1483.257,1412.257,1,0,1.0
4,r04_20260912_232537.jsonl,13,1,915.429,400.0,5,1,5444.43,4529.001,1,0,1.0
4,r04_20260912_232537.jsonl,14,1,83.0,0.0,2,1,584.027,501.027,1,0,1.0
4,r04_20260912_232537.jsonl,15,0,,,0,0,,,0,0,
4,r04_20260912_232537.jsonl,16,0,,,0,0,,,0,0,
4,r04_20260912_232537.jsonl,17,0,,,0,0,,,0,0,
4,r04_20260912_232537.jsonl,18,0,,,0,0,,,0,0,
4,r04_20260912_232537.jsonl,19,0,,,0,0,,,0,0,
4,r04_20260912_232537.jsonl,20,1,1649.368,1300.0,3,1,1981.45,332.082,1,0,1.0
5,r05_20260912_232554.jsonl,1,0,,,0,0,,,0,0,
5,r05_20260912_232554.jsonl,2,0,,,0,0,,,0,0,
5,r05_20260912_232554.jsonl,3,1,453.0,400.0,3,1,2983.877,2530.877,1,0,1.0
5,r05_20260912_232554.jsonl,4,0,,,0,0,,,0,0,
5,r05_20260912_232554.jsonl,5,1,29.0,0.0,4,1,6729.778,6700.778,1,0,1.0
5,r05_20260912_232554.jsonl,6,1,1292.895,1300.0,3,1,1950.303,657.407,1,0,1.0
5,r05_20260912_232554.jsonl,7,1,435.0,400.0,5,1,3540.045,3105.045,1,0,1.0
5,r05_20260912_232554.jsonl,8,1,4652.085,1300.0,4,1,5439.401,787.316,1,0,1.0
5,r05_20260912_232554.jsonl,9,1,745.0,400.0,4,1,4839.755,4094.755,1,0,1.0
5,r05_20260912_232554.jsonl,10,1,247.0,400.0,3,1,2765.285,2518.285,3,2,0.333
5,r05_20260912_232554.jsonl,11,0,,,0,0,,,0,0,
5,r05_20260912_232554.jsonl,12,1,235.0,400.0,3,1,2446.875,2211.875,1,0,1.0
5,r05_20260912_232554.jsonl,13,1,721.0,400.0,4,1,4877.208,4156.208,1,0,1.0
5,r05_20260912_232554.jsonl,14,1,83.0,0.0,4,1,4501.204,4418.204,1,0,1.0
5,r05_20260912_232554.jsonl,15,1,89.0,0.0,3,1,5743.227,5654.227,1,0,1.0
5,r05_20260912_232554.jsonl,16,0,,,0,0,,,0,0,
