指标,样本数,均值,标准差,最小值,25分位,中位数,75分位,最大值
cleared,10,12.7,2.111,10.0,11.0,13.0,14.0,16.0
detected,10,12.7,2.111,10.0,11.0,13.0,14.0,16.0
missed,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vt_total_s,10,7487.209,1065.172,6459.032,6698.583,7157.848,7910.332,9361.545
vt_total_h,10,2.08,0.296,1.794,1.861,1.988,2.197,2.6
avg_per_source_s,10,609.151,158.774,403.69,493.031,587.625,676.542,936.154
avg_locate_clear_s,10,2947.79,1007.371,1664.898,1949.07,3070.503,3806.761,4138.03
n_measure,10,329.6,62.848,252.0,277.25,323.5,374.5,423.0
n_clear,10,14.6,3.34,10.0,11.25,16.0,16.75,20.0
n_clear_fail,10,1.9,1.524,0.0,0.5,2.0,2.75,4.0
clear_success_rate,10,0.884,0.088,0.765,0.817,0.875,0.971,1.0
avg_bearings_per_source,10,3.629,0.314,3.15,3.473,3.62,3.837,4.18
n_switch,10,318.8,59.505,244.0,270.75,311.5,363.0,407.0
move_distance_m,10,27256.05,3998.885,22209.5,24549.875,25789.8,29178.975,33942.7
move_time_s,10,5451.2,799.773,4441.9,4909.95,5157.95,5835.775,6788.5
measure_time_s,10,1648.0,314.238,1260.0,1386.25,1617.5,1872.5,2115.0
switch_time_s,10,318.8,59.505,244.0,270.75,311.5,363.0,407.0
clear_time_s,10,69.2,14.07,50.0,55.25,75.0,76.75,92.0
other_time_s,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
init_time_s,10,119.0,0.0,119.0,119.0,119.0,119.0,119.0
hunt_time_s,10,7368.2,1065.165,6340.0,6579.6,7038.85,7791.3,9242.5
ring_time_s,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_elapsed_s,10,4.964,1.045,3.51,4.157,4.76,5.87,6.67
