run,log_file,phase,seconds,pct_of_run
1,r01_20260912_232452.jsonl,初始扫描(原点20频道),119.0,1.53
1,r01_20260912_232452.jsonl,证书巡回(26点环抱+定位清除),7671.044,98.47
2,r02_20260912_232504.jsonl,初始扫描(原点20频道),119.0,1.27
2,r02_20260912_232504.jsonl,证书巡回(26点环抱+定位清除),9242.545,98.73
3,r03_20260912_232521.jsonl,初始扫描(原点20频道),119.0,1.5
3,r03_20260912_232521.jsonl,证书巡回(26点环抱+定位清除),7831.428,98.5
4,r04_20260912_232537.jsonl,初始扫描(原点20频道),119.0,1.78
4,r04_20260912_232537.jsonl,证书巡回(26点环抱+定位清除),6584.699,98.22
5,r05_20260912_232554.jsonl,初始扫描(原点20频道),119.0,1.77
5,r05_20260912_232554.jsonl,证书巡回(26点环抱+定位清除),6610.778,98.23
6,r06_20260912_232607.jsonl,初始扫描(原点20频道),119.0,1.83
6,r06_20260912_232607.jsonl,证书巡回(26点环抱+定位清除),6389.903,98.17
7,r07_20260912_232623.jsonl,初始扫描(原点20频道),119.0,1.57
7,r07_20260912_232623.jsonl,证书巡回(26点环抱+定位清除),7466.918,98.43
8,r08_20260912_232639.jsonl,初始扫描(原点20频道),119.0,1.78
8,r08_20260912_232639.jsonl,证书巡回(26点环抱+定位清除),6577.878,98.22
9,r09_20260912_232654.jsonl,初始扫描(原点20频道),119.0,1.84
9,r09_20260912_232654.jsonl,证书巡回(26点环抱+定位清除),6340.032,98.16
10,r10_20260912_232708.jsonl,初始扫描(原点20频道),119.0,1.31
10,r10_20260912_232708.jsonl,证书巡回(26点环抱+定位清除),8966.87,98.69
