round,log_file,start_time,end_time,enter_ok,exit_ok,cleared,vt_total_s,vt_total_h,avg_per_source_s,measure_cnt,switch_cnt,clear_attempts,clear_fail,channels_detected,real_elapsed_s,records,error
1,r01_20260912_232452.jsonl,20260912_232452,,1,1,10,7790.044,2.1639,779.004,418,407,,0,10,6.85,430,
2,r02_20260912_232504.jsonl,20260912_232504,,1,1,10,9361.545,2.6004,936.154,423,402,,2,10,6.23,437,
3,r03_20260912_232521.jsonl,20260912_232521,,1,1,15,7950.428,2.2085,530.029,333,321,,2,15,6.23,352,
4,r04_20260912_232537.jsonl,20260912_232537,,1,1,11,6703.699,1.8621,609.427,314,302,,0,11,4.61,327,
5,r05_20260912_232554.jsonl,20260912_232554,,1,1,14,6729.778,1.8694,480.698,268,263,,2,14,4.37,286,
6,r06_20260912_232607.jsonl,20260912_232607,,1,1,11,6508.903,1.808,591.718,337,327,,0,11,5.7,350,
7,r07_20260912_232623.jsonl,20260912_232623,,1,1,13,7585.918,2.1072,583.532,305,294,,3,13,5.01,323,
8,r08_20260912_232639.jsonl,20260912_232639,,1,1,14,6696.878,1.8602,478.348,259,253,,2,14,4.34,277,
9,r09_20260912_232654.jsonl,20260912_232654,,1,1,16,6459.032,1.7942,403.69,252,244,,4,16,4.7,274,
10,r10_20260912_232708.jsonl,20260912_232708,,1,1,13,9085.87,2.5239,698.913,387,375,,4,13,7.44,406,
