run,log_file,category,seconds,pct_of_run
0,robot_p4_20260912_173518.jsonl,移动,5971.447,9.51
0,robot_p4_20260912_173518.jsonl,测向,1455.0,2.32
0,robot_p4_20260912_173518.jsonl,换频,273.0,0.43
0,robot_p4_20260912_173518.jsonl,清除(成功),80.0,0.13
0,robot_p4_20260912_173518.jsonl,清除(失败),3.0,0.0
0,robot_p4_20260912_173518.jsonl,未解释/余量,-0.0,-0.0
0,robot_p4_20260912_173700.jsonl,移动,5968.971,9.5
0,robot_p4_20260912_173700.jsonl,测向,1745.0,2.78
0,robot_p4_20260912_173700.jsonl,换频,319.0,0.51
0,robot_p4_20260912_173700.jsonl,清除(成功),65.0,0.1
0,robot_p4_20260912_173700.jsonl,清除(失败),0.0,0.0
0,robot_p4_20260912_173700.jsonl,未解释/余量,-0.0,-0.0
0,robot_p4_20260912_173747.jsonl,移动,5174.49,8.24
0,robot_p4_20260912_173747.jsonl,测向,1515.0,2.41
0,robot_p4_20260912_173747.jsonl,换频,290.0,0.46
0,robot_p4_20260912_173747.jsonl,清除(成功),60.0,0.1
0,robot_p4_20260912_173747.jsonl,清除(失败),0.0,0.0
0,robot_p4_20260912_173747.jsonl,未解释/余量,-0.0,-0.0
0,robot_p4_20260912_173754.jsonl,移动,8293.91,13.21
0,robot_p4_20260912_173754.jsonl,测向,1635.0,2.6
0,robot_p4_20260912_173754.jsonl,换频,290.0,0.46
0,robot_p4_20260912_173754.jsonl,清除(成功),80.0,0.13
0,robot_p4_20260912_173754.jsonl,清除(失败),3.0,0.0
0,robot_p4_20260912_173754.jsonl,未解释/余量,-0.0,-0.0
0,robot_p4_20260912_173812.jsonl,移动,6649.511,10.59
0,robot_p4_20260912_173812.jsonl,测向,1465.0,2.33
0,robot_p4_20260912_173812.jsonl,换频,258.0,0.41
0,robot_p4_20260912_173812.jsonl,清除(成功),70.0,0.11
0,robot_p4_20260912_173812.jsonl,清除(失败),0.0,0.0
0,robot_p4_20260912_173812.jsonl,未解释/余量,-0.0,-0.0
0,robot_p4_20260912_173828.jsonl,移动,5107.647,8.13
0,robot_p4_20260912_173828.jsonl,测向,1350.0,2.15
0,robot_p4_20260912_173828.jsonl,换频,256.0,0.41
0,robot_p4_20260912_173828.jsonl,清除(成功),75.0,0.12
0,robot_p4_20260912_173828.jsonl,清除(失败),0.0,0.0
0,robot_p4_20260912_173828.jsonl,未解释/余量,-0.0,-0.0
0,robot_p4_20260912_173844.jsonl,移动,5450.55,8.68
0,robot_p4_20260912_173844.jsonl,测向,1210.0,1.93
0,robot_p4_20260912_173844.jsonl,换频,236.0,0.38
0,robot_p4_20260912_173844.jsonl,清除(成功),80.0,0.13
0,robot_p4_20260912_173844.jsonl,清除(失败),3.0,0.0
0,robot_p4_20260912_173844.jsonl,未解释/余量,-0.0,-0.0
0,robot_p4_20260912_173859.jsonl,移动,5149.362,8.2
0,robot_p4_20260912_173859.jsonl,测向,1805.0,2.87
0,robot_p4_20260912_173859.jsonl,换频,348.0,0.55
0,robot_p4_20260912_173859.jsonl,清除(成功),65.0,0.1
0,robot_p4_20260912_173859.jsonl,清除(失败),0.0,0.0
0,robot_p4_20260912_173859.jsonl,未解释/余量,0.0,0.0
