run,log_file,channel,detected,first_detect_vt_s,first_detect_radius_m,n_bearings,cleared,clear_vt_s,locate_clear_time_s,n_clear_attempts,n_clear_fail,clear_success_rate
0,robot_p4_20260912_173518.jsonl,1,1,5.0,0.0,4,1,5876.812,5871.812,1,0,1.0
0,robot_p4_20260912_173518.jsonl,2,1,5605.805,1300.0,3,1,6045.722,439.917,1,0,1.0
0,robot_p4_20260912_173518.jsonl,3,1,1285.895,1300.0,4,1,2077.124,791.228,1,0,1.0
0,robot_p4_20260912_173518.jsonl,4,0,,,0,0,,,0,0,
0,robot_p4_20260912_173518.jsonl,5,1,568.0,400.0,4,1,4473.258,3905.258,1,0,1.0
0,robot_p4_20260912_173518.jsonl,6,1,35.0,0.0,4,1,7130.756,7095.756,1,0,1.0
0,robot_p4_20260912_173518.jsonl,7,1,5932.562,1300.0,5,1,7364.128,1431.566,1,0,1.0
0,robot_p4_20260912_173518.jsonl,8,1,1527.267,1900.0,3,1,6374.812,4847.545,1,0,1.0
0,robot_p4_20260912_173518.jsonl,9,1,252.0,400.0,4,1,6966.832,6714.832,1,0,1.0
0,robot_p4_20260912_173518.jsonl,10,1,4907.456,1300.0,3,1,5254.628,347.172,2,1,0.5
0,robot_p4_20260912_173518.jsonl,11,0,,,0,0,,,0,0,
0,robot_p4_20260912_173518.jsonl,12,1,756.0,400.0,3,1,3674.353,2918.353,1,0,1.0
0,robot_p4_20260912_173518.jsonl,13,1,228.0,400.0,3,1,5494.377,5266.377,1,0,1.0
0,robot_p4_20260912_173518.jsonl,14,0,,,0,0,,,0,0,
0,robot_p4_20260912_173518.jsonl,15,1,1503.267,1900.0,5,1,6601.477,5098.21,1,0,1.0
0,robot_p4_20260912_173518.jsonl,16,1,95.0,0.0,3,1,4249.509,4154.509,1,0,1.0
0,robot_p4_20260912_173518.jsonl,17,1,101.0,0.0,3,1,7782.447,7681.447,1,0,1.0
0,robot_p4_20260912_173518.jsonl,18,1,107.0,0.0,5,1,3922.831,3815.831,1,0,1.0
0,robot_p4_20260912_173518.jsonl,19,0,,,0,0,,,0,0,
0,robot_p4_20260912_173518.jsonl,20,1,204.0,400.0,5,1,1909.192,1705.192,1,0,1.0
0,robot_p4_20260912_173700.jsonl,1,1,294.0,400.0,4,1,2147.253,1853.253,1,0,1.0
0,robot_p4_20260912_173700.jsonl,2,1,11.0,0.0,4,1,1941.466,1930.466,1,0,1.0
0,robot_p4_20260912_173700.jsonl,3,0,,,0,0,,,0,0,
0,robot_p4_20260912_173700.jsonl,4,1,5077.114,1300.0,4,1,5668.733,591.619,1,0,1.0
0,robot_p4_20260912_173700.jsonl,5,0,,,0,0,,,0,0,
0,robot_p4_20260912_173700.jsonl,6,1,270.0,400.0,4,1,1883.332,1613.332,1,0,1.0
0,robot_p4_20260912_173700.jsonl,7,1,264.0,400.0,5,1,2669.288,2405.288,1,0,1.0
0,robot_p4_20260912_173700.jsonl,8,0,,,0,0,,,0,0,
0,robot_p4_20260912_173700.jsonl,9,1,53.0,0.0,3,1,6575.5,6522.5,1,0,1.0
0,robot_p4_20260912_173700.jsonl,10,0,,,0,0,,,0,0,
0,robot_p4_20260912_173700.jsonl,11,1,5270.486,1900.0,3,1,5957.534,687.047,1,0,1.0
0,robot_p4_20260912_173700.jsonl,12,1,762.0,400.0,4,1,1162.47,400.47,1,0,1.0
0,robot_p4_20260912_173700.jsonl,13,0,,,0,0,,,0,0,
0,robot_p4_20260912_173700.jsonl,14,1,750.0,400.0,4,1,4919.566,4169.566,1,0,1.0
0,robot_p4_20260912_173700.jsonl,15,0,,,0,0,,,0,0,
0,robot_p4_20260912_173700.jsonl,16,1,4808.323,1900.0,4,1,7316.301,2507.979,1,0,1.0
0,robot_p4_20260912_173700.jsonl,17,1,101.0,0.0,7,1,8097.971,7996.971,1,0,1.0
0,robot_p4_20260912_173700.jsonl,18,0,,,0,0,,,0,0,
0,robot_p4_20260912_173700.jsonl,19,1,113.0,0.0,5,1,1306.206,1193.206,1,0,1.0
0,robot_p4_20260912_173700.jsonl,20,1,732.0,400.0,3,1,4267.054,3535.054,1,0,1.0
0,robot_p4_20260912_173747.jsonl,1,1,2430.119,1900.0,3,1,2769.701,339.581,1,0,1.0
0,robot_p4_20260912_173747.jsonl,2,0,,,0,0,,,0,0,
0,robot_p4_20260912_173747.jsonl,3,1,2017.948,1900.0,4,1,3635.132,1617.184,1,0,1.0
0,robot_p4_20260912_173747.jsonl,4,1,23.0,0.0,5,1,4258.847,4235.847,1,0,1.0
0,robot_p4_20260912_173747.jsonl,5,1,29.0,0.0,2,1,705.089,676.089,1,0,1.0
0,robot_p4_20260912_173747.jsonl,6,1,35.0,0.0,4,1,6386.536,6351.536,1,0,1.0
0,robot_p4_20260912_173747.jsonl,7,0,,,0,0,,,0,0,
0,robot_p4_20260912_173747.jsonl,8,1,47.0,0.0,5,1,6532.929,6485.929,1,0,1.0
0,robot_p4_20260912_173747.jsonl,9,0,,,0,0,,,0,0,
0,robot_p4_20260912_173747.jsonl,10,0,,,0,0,,,0,0,
0,robot_p4_20260912_173747.jsonl,11,0,,,0,0,,,0,0,
0,robot_p4_20260912_173747.jsonl,12,1,71.0,0.0,3,1,3278.209,3207.209,1,0,1.0
0,robot_p4_20260912_173747.jsonl,13,1,1092.179,400.0,5,1,6263.931,5171.752,1,0,1.0
0,robot_p4_20260912_173747.jsonl,14,0,,,0,0,,,0,0,
0,robot_p4_20260912_173747.jsonl,15,0,,,0,0,,,0,0,
0,robot_p4_20260912_173747.jsonl,16,1,1482.074,1300.0,4,1,1853.86,371.786,1,0,1.0
0,robot_p4_20260912_173747.jsonl,17,1,101.0,0.0,4,1,5551.603,5450.603,1,0,1.0
0,robot_p4_20260912_173747.jsonl,18,0,,,0,0,,,0,0,
0,robot_p4_20260912_173747.jsonl,19,1,205.0,400.0,5,1,3492.918,3287.918,1,0,1.0
0,robot_p4_20260912_173747.jsonl,20,1,119.0,0.0,4,1,2997.58,2878.58,1,0,1.0
0,robot_p4_20260912_173754.jsonl,1,1,295.0,400.0,4,1,2241.508,1946.508,1,0,1.0
0,robot_p4_20260912_173754.jsonl,2,1,11.0,0.0,6,1,3550.953,3539.953,1,0,1.0
0,robot_p4_20260912_173754.jsonl,3,1,811.0,400.0,4,1,7023.436,6212.436,1,0,1.0
0,robot_p4_20260912_173754.jsonl,4,1,3049.187,1900.0,3,1,7374.406,4325.219,1,0,1.0
0,robot_p4_20260912_173754.jsonl,5,1,3637.957,1300.0,3,1,4469.685,831.729,1,0,1.0
0,robot_p4_20260912_173754.jsonl,6,0,,,0,0,,,0,0,
0,robot_p4_20260912_173754.jsonl,7,1,1551.364,1300.0,3,1,2312.594,761.23,1,0,1.0
0,robot_p4_20260912_173754.jsonl,8,1,5576.691,1900.0,4,1,10301.91,4725.218,1,0,1.0
0,robot_p4_20260912_173754.jsonl,9,0,,,0,0,,,0,0,
0,robot_p4_20260912_173754.jsonl,10,1,5298.614,1900.0,4,1,5817.129,518.515,1,0,1.0
0,robot_p4_20260912_173754.jsonl,11,1,5129.242,1300.0,4,1,5495.253,366.011,1,0,1.0
0,robot_p4_20260912_173754.jsonl,12,1,411.0,400.0,4,1,3362.966,2951.966,1,0,1.0
0,robot_p4_20260912_173754.jsonl,13,0,,,0,0,,,0,0,
0,robot_p4_20260912_173754.jsonl,14,1,83.0,0.0,3,1,7694.383,7611.383,1,0,1.0
0,robot_p4_20260912_173754.jsonl,15,1,223.0,400.0,6,1,9137.894,8914.894,1,0,1.0
0,robot_p4_20260912_173754.jsonl,16,1,2995.187,1900.0,3,1,3282.383,287.196,1,0,1.0
0,robot_p4_20260912_173754.jsonl,17,1,745.0,400.0,5,1,7862.029,7117.029,1,0,1.0
0,robot_p4_20260912_173754.jsonl,18,0,,,0,0,,,0,0,
0,robot_p4_20260912_173754.jsonl,19,1,113.0,0.0,3,1,911.395,798.395,1,0,1.0
0,robot_p4_20260912_173754.jsonl,20,1,119.0,0.0,4,1,1412.322,1293.322,2,1,0.5
0,robot_p4_20260912_173812.jsonl,1,1,5.0,0.0,3,1,575.116,570.116,1,0,1.0
0,robot_p4_20260912_173812.jsonl,2,0,,,0,0,,,0,0,
0,robot_p4_20260912_173812.jsonl,3,1,2589.322,1900.0,3,1,2828.532,239.21,1,0,1.0
0,robot_p4_20260912_173812.jsonl,4,1,1422.635,1300.0,7,0,,,0,0,
0,robot_p4_20260912_173812.jsonl,5,1,458.0,400.0,4,1,4986.78,4528.78,1,0,1.0
0,robot_p4_20260912_173812.jsonl,6,0,,,0,0,,,0,0,
0,robot_p4_20260912_173812.jsonl,7,1,41.0,0.0,2,1,872.932,831.932,1,0,1.0
0,robot_p4_20260912_173812.jsonl,8,1,914.422,400.0,4,1,2092.752,1178.33,1,0,1.0
0,robot_p4_20260912_173812.jsonl,9,0,,,0,0,,,0,0,
0,robot_p4_20260912_173812.jsonl,10,1,59.0,0.0,3,1,1244.405,1185.405,1,0,1.0
0,robot_p4_20260912_173812.jsonl,11,0,,,0,0,,,0,0,
0,robot_p4_20260912_173812.jsonl,12,1,950.422,400.0,5,1,2048.332,1097.91,1,0,1.0
0,robot_p4_20260912_173812.jsonl,13,0,,,0,0,,,0,0,
0,robot_p4_20260912_173812.jsonl,14,1,83.0,0.0,5,1,2987.222,2904.222,1,0,1.0
0,robot_p4_20260912_173812.jsonl,15,1,1626.635,1900.0,4,1,6083.954,4457.319,1,0,1.0
0,robot_p4_20260912_173812.jsonl,16,1,3316.287,1300.0,3,1,3876.158,559.871,1,0,1.0
0,robot_p4_20260912_173812.jsonl,17,1,734.491,400.0,5,1,6126.825,5392.334,1,0,1.0
0,robot_p4_20260912_173812.jsonl,18,1,1446.635,1300.0,3,1,1962.584,515.949,1,0,1.0
0,robot_p4_20260912_173812.jsonl,19,1,210.0,400.0,3,1,4319.383,4109.383,1,0,1.0
0,robot_p4_20260912_173812.jsonl,20,1,2152.247,1300.0,4,1,2664.053,511.805,1,0,1.0
0,robot_p4_20260912_173828.jsonl,1,1,392.0,400.0,4,1,3423.455,3031.455,1,0,1.0
0,robot_p4_20260912_173828.jsonl,2,1,11.0,0.0,5,1,4401.926,4390.926,1,0,1.0
0,robot_p4_20260912_173828.jsonl,3,1,4224.191,1300.0,5,1,5032.569,808.377,1,0,1.0
0,robot_p4_20260912_173828.jsonl,4,0,,,0,0,,,0,0,
0,robot_p4_20260912_173828.jsonl,5,1,29.0,0.0,4,1,6161.72,6132.72,1,0,1.0
0,robot_p4_20260912_173828.jsonl,6,1,35.0,0.0,4,1,1335.529,1300.529,1,0,1.0
0,robot_p4_20260912_173828.jsonl,7,1,41.0,0.0,4,1,3263.181,3222.181,1,0,1.0
0,robot_p4_20260912_173828.jsonl,8,0,,,0,0,,,0,0,
0,robot_p4_20260912_173828.jsonl,9,1,4567.231,1300.0,3,1,5654.138,1086.907,1,0,1.0
0,robot_p4_20260912_173828.jsonl,10,1,59.0,0.0,3,1,840.394,781.394,1,0,1.0
0,robot_p4_20260912_173828.jsonl,11,1,1121.122,400.0,4,1,5321.697,4200.576,1,0,1.0
0,robot_p4_20260912_173828.jsonl,12,0,,,0,0,,,0,0,
0,robot_p4_20260912_173828.jsonl,13,1,228.0,400.0,4,1,1921.694,1693.694,1,0,1.0
0,robot_p4_20260912_173828.jsonl,14,1,83.0,0.0,4,1,6301.282,6218.282,1,0,1.0
0,robot_p4_20260912_173828.jsonl,15,1,89.0,0.0,2,1,489.15,400.15,1,0,1.0
0,robot_p4_20260912_173828.jsonl,16,0,,,0,0,,,0,0,
0,robot_p4_20260912_173828.jsonl,17,0,,,0,0,,,0,0,
0,robot_p4_20260912_173828.jsonl,18,1,5206.574,1300.0,2,1,5878.768,672.194,1,0,1.0
0,robot_p4_20260912_173828.jsonl,19,1,113.0,0.0,5,1,1796.796,1683.796,1,0,1.0
0,robot_p4_20260912_173828.jsonl,20,1,1428.014,1300.0,3,1,2103.42,675.405,1,0,1.0
0,robot_p4_20260912_173844.jsonl,1,1,5.0,0.0,5,1,5594.215,5589.215,1,0,1.0
0,robot_p4_20260912_173844.jsonl,2,1,11.0,0.0,3,1,506.379,495.379,1,0,1.0
