指标,样本数,均值,标准差,最小值,25分位,中位数,75分位,最大值
cleared,8,14.375,1.598,12.0,13.0,14.5,16.0,16.0
detected,8,14.75,1.488,12.0,14.5,15.0,16.0,16.0
missed,8,0.375,0.744,0.0,0.0,0.0,0.25,2.0
vt_total_s,8,7849.986,1146.61,6788.647,7024.505,7574.905,8184.106,10301.91
vt_total_h,8,2.181,0.318,1.886,1.951,2.104,2.273,2.862
avg_per_source_s,8,549.796,80.217,436.222,477.946,576.672,608.007,643.869
avg_locate_clear_s,8,2857.928,620.509,2005.898,2389.588,2828.303,3281.798,3880.313
n_measure,8,304.5,39.807,242.0,285.75,298.0,332.5,361.0
n_clear,8,14.75,2.053,12.0,13.0,14.5,17.0,17.0
n_clear_fail,8,0.375,0.518,0.0,0.0,0.0,1.0,1.0
clear_success_rate,8,0.978,0.031,0.941,0.941,1.0,1.0,1.0
avg_bearings_per_source,8,3.88,0.213,3.62,3.708,3.875,4.037,4.15
n_switch,8,283.75,36.405,236.0,257.5,281.5,297.25,348.0
move_distance_m,8,29853.675,5405.695,25538.2,25841.075,28548.8,30704.8,41469.5
move_time_s,8,5970.725,1081.14,5107.6,5168.225,5709.75,6140.925,8293.9
measure_time_s,8,1522.5,199.033,1210.0,1428.75,1490.0,1662.5,1805.0
switch_time_s,8,283.75,36.405,236.0,257.5,281.5,297.25,348.0
clear_time_s,8,73.0,9.335,60.0,65.0,72.5,83.0,83.0
other_time_s,8,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
init_time_s,8,119.0,0.0,119.0,119.0,119.0,119.0,119.0
hunt_time_s,8,7730.975,1146.616,6669.6,6905.5,7455.9,8065.125,10182.9
ring_time_s,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_elapsed_s,8,5.135,1.103,3.26,4.605,5.205,5.61,7.07
