run,log_file,phase,seconds,pct_of_run
0,robot_p4_20260912_173518.jsonl,初始扫描(原点20频道),119.0,0.19
0,robot_p4_20260912_173518.jsonl,证书巡回(26点环抱+定位清除),7663.447,12.2
0,robot_p4_20260912_173700.jsonl,初始扫描(原点20频道),119.0,0.19
0,robot_p4_20260912_173700.jsonl,证书巡回(26点环抱+定位清除),7978.971,12.71
0,robot_p4_20260912_173747.jsonl,初始扫描(原点20频道),119.0,0.19
0,robot_p4_20260912_173747.jsonl,证书巡回(26点环抱+定位清除),6920.49,11.02
0,robot_p4_20260912_173754.jsonl,初始扫描(原点20频道),119.0,0.19
0,robot_p4_20260912_173754.jsonl,证书巡回(26点环抱+定位清除),10182.91,16.21
0,robot_p4_20260912_173812.jsonl,初始扫描(原点20频道),119.0,0.19
0,robot_p4_20260912_173812.jsonl,证书巡回(26点环抱+定位清除),8323.511,13.25
0,robot_p4_20260912_173828.jsonl,初始扫描(原点20频道),119.0,0.19
0,robot_p4_20260912_173828.jsonl,证书巡回(26点环抱+定位清除),6669.647,10.62
0,robot_p4_20260912_173844.jsonl,初始扫描(原点20频道),119.0,0.19
0,robot_p4_20260912_173844.jsonl,证书巡回(26点环抱+定位清除),6860.55,10.92
0,robot_p4_20260912_173859.jsonl,初始扫描(原点20频道),119.0,0.19
0,robot_p4_20260912_173859.jsonl,证书巡回(26点环抱+定位清除),7248.362,11.54
