case,n,omni,dirn,cleared,rate,vt,tavg,meas,try,fail
VXJE-7FSZ-BPKX-6URK,16,16,0,16,1.000,5319.2,332.4,138,16,0
JWNH-7WJN-HEPD-VYJX,13,13,0,13,1.000,4026.9,309.8,145,13,0
3736-J2N3-XNDS-AYBZ,14,14,0,14,1.000,4389.0,313.5,136,14,0
NSR3-9PET-ZJRG-BRRR,10,10,0,10,1.000,4117.8,411.8,133,10,0
94UQ-X74W-Y3KW-XPUH,10,10,0,10,1.000,3643.6,364.4,149,10,0
T59N-8HTV-EMPX-VUQQ,13,13,0,13,1.000,3885.5,298.9,122,13,0
NQ57-EQF7-VBFS-KMDQ,14,14,0,14,1.000,3943.3,281.7,99,14,0
A3SF-HQXT-RE5B-M7GN,13,13,0,13,1.000,3452.0,265.5,132,13,0
S546-9QXK-VRAV-RT5N,16,16,0,16,1.000,4090.9,255.7,122,23,7
Y365-MVQE-EKFB-F9HH,10,10,0,10,1.000,3339.9,334.0,124,10,0
