步骤,动作,x(m),y(m),频道,结果,示向度(deg),累计虚拟时间(s)
1,measure,0.0,0.0,1,no_signal,,5.0
2,measure,0.0,0.0,2,direction,236.48,11.0
3,measure,0.0,0.0,3,no_signal,,17.0
4,measure,0.0,0.0,4,no_signal,,23.0
5,measure,0.0,0.0,5,no_signal,,29.0
6,measure,0.0,0.0,6,no_signal,,35.0
7,measure,0.0,0.0,7,no_signal,,41.0
8,measure,0.0,0.0,8,no_signal,,47.0
9,measure,0.0,0.0,9,direction,199.49,53.0
10,measure,0.0,0.0,10,no_signal,,59.0
11,measure,0.0,0.0,11,no_signal,,65.0
12,measure,0.0,0.0,12,no_signal,,71.0
13,measure,0.0,0.0,13,no_signal,,77.0
14,measure,0.0,0.0,14,direction,100.18,83.0
15,measure,0.0,0.0,15,direction,42.66,89.0
16,measure,0.0,0.0,16,direction,1.89,95.0
17,measure,0.0,0.0,17,direction,327.86,101.0
18,measure,0.0,0.0,18,no_signal,,107.0
19,measure,0.0,0.0,19,no_signal,,113.0
20,measure,0.0,0.0,20,direction,178.94,119.0
21,measure,1150.0,0.0,1,no_signal,,355.0
22,measure,1150.0,0.0,2,no_signal,,361.0
23,measure,1150.0,0.0,3,no_signal,,367.0
24,measure,1150.0,0.0,4,no_signal,,373.0
25,measure,1150.0,0.0,5,no_signal,,379.0
26,measure,1150.0,0.0,6,no_signal,,385.0
27,measure,1150.0,0.0,7,no_signal,,391.0
28,measure,1150.0,0.0,8,no_signal,,397.0
29,measure,1150.0,0.0,9,no_signal,,403.0
30,measure,1150.0,0.0,10,no_signal,,409.0
31,measure,1150.0,0.0,11,no_signal,,415.0
32,measure,1150.0,0.0,12,no_signal,,421.0
33,measure,1150.0,0.0,13,no_signal,,427.0
34,measure,1150.0,0.0,14,no_signal,,433.0
35,measure,1150.0,0.0,15,direction,138.14,439.0
36,measure,1150.0,0.0,16,direction,22.77,445.0
37,measure,1150.0,0.0,17,direction,207.81,451.0
38,measure,1150.0,0.0,18,direction,253.04,457.0
39,measure,1150.0,0.0,19,no_signal,,463.0
40,measure,1150.0,0.0,20,no_signal,,469.0
41,measure,575.0,995.93,1,no_signal,,705.0
42,measure,575.0,995.93,2,no_signal,,711.0
43,measure,575.0,995.93,3,no_signal,,717.0
44,measure,575.0,995.93,4,no_signal,,723.0
45,measure,575.0,995.93,5,no_signal,,729.0
46,measure,575.0,995.93,6,no_signal,,735.0
47,measure,575.0,995.93,7,no_signal,,741.0
48,measure,575.0,995.93,8,no_signal,,747.0
49,measure,575.0,995.93,9,direction,231.02,753.0
50,measure,575.0,995.93,10,no_signal,,759.0
51,measure,575.0,995.93,11,no_signal,,765.0
52,measure,575.0,995.93,12,no_signal,,771.0
53,measure,575.0,995.93,13,direction,174.48,777.0
54,measure,575.0,995.93,14,direction,205.24,783.0
55,measure,575.0,995.93,18,no_signal,,789.0
56,measure,575.0,995.93,19,no_signal,,795.0
57,measure,575.0,995.93,20,no_signal,,801.0
58,measure,-575.0,995.93,1,direction,208.16,1037.0
59,measure,-575.0,995.93,2,no_signal,,1043.0
60,measure,-575.0,995.93,3,no_signal,,1049.0
61,measure,-575.0,995.93,4,no_signal,,1055.0
62,measure,-575.0,995.93,5,no_signal,,1061.0
63,measure,-575.0,995.93,6,no_signal,,1067.0
64,measure,-575.0,995.93,7,no_signal,,1073.0
65,measure,-575.0,995.93,8,no_signal,,1079.0
66,measure,-575.0,995.93,10,no_signal,,1085.0
67,measure,-575.0,995.93,11,no_signal,,1091.0
68,measure,-575.0,995.93,12,no_signal,,1097.0
69,measure,-575.0,995.93,13,direction,20.21,1103.0
70,measure,-575.0,995.93,18,no_signal,,1109.0
71,measure,-575.0,995.93,19,direction,176.45,1115.0
72,measure,-575.0,995.93,20,direction,250.8,1121.0
73,measure,-1150.0,0.0,1,direction,108.91,1357.0
74,measure,-1150.0,0.0,2,direction,300.46,1363.0
75,measure,-1150.0,0.0,3,no_signal,,1369.0
76,measure,-1150.0,0.0,4,no_signal,,1375.0
77,measure,-1150.0,0.0,5,no_signal,,1381.0
78,measure,-1150.0,0.0,6,no_signal,,1387.0
79,measure,-1150.0,0.0,7,no_signal,,1393.0
80,measure,-1150.0,0.0,8,no_signal,,1399.0
81,measure,-1150.0,0.0,10,no_signal,,1405.0
82,measure,-1150.0,0.0,11,no_signal,,1411.0
83,measure,-1150.0,0.0,12,no_signal,,1417.0
84,measure,-1150.0,0.0,18,no_signal,,1423.0
85,measure,-1150.0,0.0,19,direction,89.26,1429.0
86,measure,-575.0,-995.93,3,direction,210.41,1665.0
87,measure,-575.0,-995.93,4,no_signal,,1671.0
88,measure,-575.0,-995.93,5,no_signal,,1677.0
89,measure,-575.0,-995.93,6,no_signal,,1683.0
90,measure,-575.0,-995.93,7,no_signal,,1689.0
91,measure,-575.0,-995.93,8,direction,304.84,1695.0
92,measure,-575.0,-995.93,10,no_signal,,1701.0
93,measure,-575.0,-995.93,11,no_signal,,1707.0
94,measure,-575.0,-995.93,12,direction,293.56,1713.0
95,measure,-575.0,-995.93,18,no_signal,,1719.0
96,measure,575.0,-995.93,3,no_signal,,1955.0
97,measure,575.0,-995.93,4,no_signal,,1961.0
98,measure,575.0,-995.93,5,no_signal,,1967.0
99,measure,575.0,-995.93,6,no_signal,,1973.0
100,measure,575.0,-995.93,7,no_signal,,1979.0
101,measure,575.0,-995.93,8,direction,209.57,1985.0
102,measure,575.0,-995.93,10,no_signal,,1991.0
103,measure,575.0,-995.93,11,no_signal,,1997.0
104,measure,575.0,-995.93,12,direction,223.94,2003.0
105,measure,575.0,-995.93,18,direction,334.27,2009.0
106,measure,-1008.37,-1250.29,3,direction,188.6,2335.734
107,measure,-1222.9,-1376.2,3,direction,31.91,2390.484
108,measure,-1115.63,-1313.24,3,direction,35.01,2420.359
109,measure,-1062.0,-1281.77,3,direction,42.84,2437.796
110,measure,-1035.18,-1266.03,3,direction,71.21,2449.015
111,measure,-1021.78,-1258.16,3,direction,153.46,2457.124
112,measure,-1028.48,-1262.09,3,direction,106.85,2463.679
113,measure,-1025.13,-1260.12,3,direction,132.28,2469.456
114,measure,-1026.8,-1261.11,3,direction,118.82,2474.845
115,measure,-1025.97,-1260.62,3,direction,125.62,2480.039
116,measure,-1026.39,-1260.86,3,direction,122.7,2485.137
117,measure,-1026.6,-1260.98,3,direction,121.04,2490.185
118,measure,-1026.7,-1261.05,3,direction,119.75,2495.21
119,clear,-1026.65,-1261.02,3,success,,2500.222
120,clear,-609.16,-919.64,2,success,,2613.08
121,clear,-249.41,-1463.69,8,success,,2748.527
122,clear,-234.74,-1776.25,12,success,,2816.107
123,clear,811.51,-1109.91,18,success,,3069.191
124,clear,524.85,-329.75,17,success,,3240.424
125,clear,1248.12,41.19,16,no_target_in_range,,3405.993
126,measure,1248.12,41.19,16,direction,21.68,3411.993
127,clear,1262.06,46.73,16,no_target_in_range,,3417.993
128,measure,1262.06,46.73,16,direction,20.84,3422.993
129,clear,1276.08,52.06,16,success,,3430.993
130,clear,566.93,522.42,15,success,,3606.184
131,clear,-120.0,668.29,14,success,,3751.635
132,clear,-335.88,1083.96,13,success,,3850.311
133,clear,-1136.69,1030.78,19,success,,4015.826
134,clear,-1349.21,581.5,1,success,,4120.227
135,clear,-915.92,16.95,20,success,,4267.558
136,clear,-323.59,-114.52,9,no_target_in_range,,4391.908
137,measure,-323.59,-114.52,9,direction,200.46,4397.908
138,clear,-337.64,-119.77,9,no_target_in_range,,4403.908
139,measure,-337.64,-119.77,9,direction,200.52,4408.908
140,clear,-351.69,-125.03,9,success,,4416.908
141,measure,0.0,0.0,4,no_signal,,4497.558
142,measure,0.0,0.0,5,no_signal,,4503.558
143,measure,0.0,0.0,6,no_signal,,4509.558
144,measure,0.0,0.0,7,no_signal,,4515.558
145,measure,0.0,0.0,10,no_signal,,4521.558
146,measure,0.0,0.0,11,no_signal,,4527.558
