案例,干扰源总数,清除个数,总时间(s),平均定位清除时间(s),移动(s),切换(s),检测(s),清除(s)
1,15,15,5054.6,337.0,4218.6,115.0,640.0,81.0
2,13,13,6508.6,500.7,5461.6,131.0,845.0,71.0
3,15,15,7220.4,481.4,6248.4,125.0,760.0,87.0
4,15,15,5748.6,383.2,4921.6,104.0,645.0,78.0
5,15,15,5134.0,342.3,4326.0,108.0,610.0,90.0
6,14,14,7210.9,515.1,6205.9,125.0,810.0,70.0
7,13,13,4863.5,374.1,4057.5,109.0,620.0,77.0
8,16,16,6429.2,401.8,5511.2,113.0,725.0,80.0
9,15,15,5219.1,347.9,4425.1,104.0,600.0,90.0
10,12,12,5903.6,492.0,4857.6,133.0,850.0,63.0
11,15,15,5456.1,363.7,4611.1,112.0,655.0,78.0
12,10,10,4966.7,496.7,4017.7,128.0,765.0,56.0
13,14,14,4719.7,337.1,3878.7,113.0,655.0,73.0
14,16,16,5012.6,313.3,4222.6,102.0,590.0,98.0
15,11,11,6623.1,602.1,5560.1,133.0,875.0,55.0
16,16,16,5256.6,328.5,4489.6,107.0,580.0,80.0
17,13,13,6845.2,526.6,5780.2,139.0,855.0,71.0
18,15,15,6250.7,416.7,5305.7,115.0,740.0,90.0
19,16,16,4745.8,296.6,4105.8,92.0,465.0,83.0
20,14,14,6244.8,446.1,5290.8,121.0,760.0,73.0
