x2(m),y2_lo(m),y2_hi(m)
638.7,497.3,508.1
644.6,493.9,517.9
650.4,490.5,527.4
656.2,487.2,536.7
662.1,483.8,545.8
667.9,480.4,554.6
673.7,477.0,563.3
679.6,473.7,571.7
685.4,470.3,580.0
691.2,466.9,588.1
697.1,463.6,596.1
702.9,460.2,603.9
708.7,456.8,611.5
714.6,453.5,619.0
720.4,450.1,626.3
726.2,446.7,633.5
732.1,443.4,640.5
737.9,440.0,647.5
743.7,436.6,654.3
749.6,433.3,661.0
755.4,433.3,661.0
761.3,436.6,654.3
767.1,440.0,647.5
772.9,443.4,640.5
778.8,446.7,633.5
784.6,450.1,626.3
790.4,453.5,619.0
796.3,456.8,611.5
802.1,460.2,603.9
807.9,463.6,596.1
813.8,466.9,588.1
819.6,470.3,580.0
825.4,473.7,571.7
831.3,477.0,563.3
837.1,480.4,554.6
842.9,483.8,545.8
848.8,487.2,536.7
854.6,490.5,527.4
860.4,493.9,517.9
866.3,497.3,508.1
