步骤,动作,x(m),y(m),频道,结果,示向度(deg),累计虚拟时间(s)
1,measure,0.0,0.0,1,direction,264.85,5.0
2,measure,0.0,0.0,2,direction,199.49,11.0
3,measure,0.0,0.0,3,direction,185.09,17.0
4,measure,0.0,0.0,4,no_signal,,23.0
5,measure,0.0,0.0,5,no_signal,,29.0
6,measure,0.0,0.0,6,no_signal,,35.0
7,measure,0.0,0.0,7,no_signal,,41.0
8,measure,0.0,0.0,8,direction,1.99,47.0
9,measure,0.0,0.0,9,direction,237.18,53.0
10,measure,0.0,0.0,10,no_signal,,59.0
11,measure,0.0,0.0,11,no_signal,,65.0
12,measure,0.0,0.0,12,direction,118.33,71.0
13,measure,0.0,0.0,13,no_signal,,77.0
14,measure,0.0,0.0,14,no_signal,,83.0
15,measure,0.0,0.0,15,no_signal,,89.0
16,measure,0.0,0.0,16,no_signal,,95.0
17,measure,0.0,0.0,17,no_signal,,101.0
18,measure,0.0,0.0,18,no_signal,,107.0
19,measure,0.0,0.0,19,no_signal,,113.0
20,measure,0.0,0.0,20,direction,33.76,119.0
21,measure,900.0,0.0,1,no_signal,,305.0
22,measure,900.0,0.0,2,direction,185.68,311.0
23,measure,900.0,0.0,3,no_signal,,317.0
24,measure,900.0,0.0,4,no_signal,,323.0
25,measure,900.0,0.0,5,no_signal,,329.0
26,measure,900.0,0.0,6,no_signal,,335.0
27,measure,900.0,0.0,7,no_signal,,341.0
28,measure,900.0,0.0,8,direction,8.9,347.0
29,measure,900.0,0.0,9,no_signal,,353.0
30,measure,900.0,0.0,10,no_signal,,359.0
31,measure,900.0,0.0,11,no_signal,,365.0
32,measure,900.0,0.0,12,no_signal,,371.0
33,measure,900.0,0.0,13,no_signal,,377.0
34,measure,900.0,0.0,14,no_signal,,383.0
35,measure,900.0,0.0,15,direction,315.88,389.0
36,measure,900.0,0.0,16,direction,91.22,395.0
37,measure,900.0,0.0,17,direction,334.6,401.0
38,measure,900.0,0.0,18,no_signal,,407.0
39,measure,900.0,0.0,19,no_signal,,413.0
40,measure,900.0,0.0,20,direction,137.27,419.0
41,measure,779.42,450.0,1,no_signal,,518.175
42,measure,779.42,450.0,2,direction,206.31,524.175
43,measure,779.42,450.0,3,no_signal,,530.175
44,measure,779.42,450.0,4,no_signal,,536.175
45,measure,779.42,450.0,5,no_signal,,542.175
46,measure,779.42,450.0,6,no_signal,,548.175
47,measure,779.42,450.0,7,no_signal,,554.175
48,measure,779.42,450.0,8,direction,322.08,560.175
49,measure,779.42,450.0,9,no_signal,,566.175
50,measure,779.42,450.0,10,no_signal,,572.175
51,measure,779.42,450.0,11,no_signal,,578.175
52,measure,779.42,450.0,12,no_signal,,584.175
53,measure,779.42,450.0,13,no_signal,,590.175
54,measure,779.42,450.0,14,no_signal,,596.175
55,measure,779.42,450.0,15,direction,303.67,602.175
56,measure,779.42,450.0,16,direction,75.17,608.175
57,measure,779.42,450.0,17,direction,311.3,614.175
58,measure,779.42,450.0,18,no_signal,,620.175
59,measure,779.42,450.0,19,no_signal,,626.175
60,measure,450.0,779.42,1,no_signal,,725.35
61,measure,450.0,779.42,2,direction,228.54,731.35
62,measure,450.0,779.42,3,no_signal,,737.35
63,measure,450.0,779.42,4,no_signal,,743.35
64,measure,450.0,779.42,5,no_signal,,749.35
65,measure,450.0,779.42,6,no_signal,,755.35
66,measure,450.0,779.42,7,no_signal,,761.35
67,measure,450.0,779.42,9,no_signal,,767.35
68,measure,450.0,779.42,10,no_signal,,773.35
69,measure,450.0,779.42,11,no_signal,,779.35
70,measure,450.0,779.42,12,direction,173.42,785.35
71,measure,450.0,779.42,13,direction,133.52,791.35
72,measure,450.0,779.42,14,no_signal,,797.35
73,measure,450.0,779.42,15,no_signal,,803.35
74,measure,450.0,779.42,16,direction,7.2,809.35
75,measure,450.0,779.42,17,no_signal,,815.35
76,measure,450.0,779.42,18,no_signal,,821.35
77,measure,450.0,779.42,19,direction,117.14,827.35
78,measure,0.0,900.0,1,no_signal,,926.525
79,measure,0.0,900.0,3,no_signal,,932.525
80,measure,0.0,900.0,4,no_signal,,938.525
81,measure,0.0,900.0,5,no_signal,,944.525
82,measure,0.0,900.0,6,no_signal,,950.525
83,measure,0.0,900.0,7,no_signal,,956.525
84,measure,0.0,900.0,9,no_signal,,962.525
85,measure,0.0,900.0,10,no_signal,,968.525
86,measure,0.0,900.0,11,no_signal,,974.525
87,measure,0.0,900.0,13,direction,88.02,980.525
88,measure,0.0,900.0,14,no_signal,,986.525
89,measure,0.0,900.0,15,no_signal,,992.525
90,measure,0.0,900.0,17,no_signal,,998.525
91,measure,0.0,900.0,18,no_signal,,1004.525
92,measure,0.0,900.0,19,direction,92.28,1010.525
93,measure,-450.0,779.42,1,no_signal,,1109.699
94,measure,-450.0,779.42,3,direction,239.03,1115.699
95,measure,-450.0,779.42,4,no_signal,,1121.699
96,measure,-450.0,779.42,5,no_signal,,1127.699
97,measure,-450.0,779.42,6,no_signal,,1133.699
98,measure,-450.0,779.42,7,no_signal,,1139.699
99,measure,-450.0,779.42,9,no_signal,,1145.699
100,measure,-450.0,779.42,10,no_signal,,1151.699
101,measure,-450.0,779.42,11,no_signal,,1157.699
102,measure,-450.0,779.42,14,no_signal,,1163.699
103,measure,-450.0,779.42,15,no_signal,,1169.699
104,measure,-450.0,779.42,17,no_signal,,1175.699
105,measure,-450.0,779.42,18,no_signal,,1181.699
106,measure,-450.0,779.42,19,direction,65.76,1187.699
107,measure,-779.42,450.0,1,no_signal,,1286.874
108,measure,-779.42,450.0,4,no_signal,,1292.874
109,measure,-779.42,450.0,5,no_signal,,1298.874
110,measure,-779.42,450.0,6,no_signal,,1304.874
111,measure,-779.42,450.0,7,no_signal,,1310.874
112,measure,-779.42,450.0,9,direction,284.8,1316.874
113,measure,-779.42,450.0,10,no_signal,,1322.874
114,measure,-779.42,450.0,11,no_signal,,1328.874
115,measure,-779.42,450.0,14,direction,248.01,1334.874
116,measure,-779.42,450.0,15,no_signal,,1340.874
117,measure,-779.42,450.0,17,no_signal,,1346.874
118,measure,-779.42,450.0,18,no_signal,,1352.874
119,measure,-900.0,0.0,1,no_signal,,1452.049
120,measure,-900.0,0.0,4,no_signal,,1458.049
121,measure,-900.0,0.0,5,no_signal,,1464.049
122,measure,-900.0,0.0,6,no_signal,,1470.049
123,measure,-900.0,0.0,7,no_signal,,1476.049
124,measure,-900.0,0.0,10,no_signal,,1482.049
125,measure,-900.0,0.0,11,no_signal,,1488.049
126,measure,-900.0,0.0,14,direction,245.08,1494.049
127,measure,-900.0,0.0,15,no_signal,,1500.049
