案例,干扰源总数,定向源数,清除个数,总时间(s),平均定位清除时间(s),移动(s),切换(s),检测(s),清除(s)
1,15,12,15,12668.0,844.5,9808.0,459.0,2305.0,96.0
2,13,6,13,12464.0,958.8,9466.0,486.0,2435.0,77.0
3,15,4,15,10823.5,721.6,8722.5,335.0,1685.0,81.0
4,15,11,15,11999.5,800.0,9546.5,395.0,1980.0,78.0
5,15,14,15,12436.3,829.1,9233.3,509.0,2550.0,144.0
6,14,3,14,12198.4,871.3,9700.4,400.0,2010.0,88.0
7,13,12,13,12515.1,962.7,9196.1,538.0,2695.0,86.0
8,16,8,16,11460.2,716.3,9348.2,333.0,1675.0,104.0
9,15,12,15,11706.7,780.4,9256.7,394.0,1975.0,81.0
10,12,8,12,12668.5,1055.7,9261.5,555.0,2780.0,72.0
11,15,2,15,11550.7,770.0,9296.7,359.0,1805.0,90.0
12,10,8,10,12809.6,1281.0,8887.6,640.0,3205.0,77.0
13,14,5,14,12173.1,869.5,9213.1,478.0,2400.0,82.0
14,16,14,16,12076.3,754.8,9549.3,405.0,2030.0,92.0
15,11,10,11,13152.2,1195.7,9393.2,616.0,3085.0,58.0
16,16,5,16,11519.9,720.0,9624.9,295.0,1490.0,110.0
17,13,3,13,12297.6,946.0,9113.6,517.0,2590.0,77.0
18,15,6,15,11086.3,739.1,8846.3,360.0,1805.0,75.0
19,16,10,16,11378.0,711.1,9124.0,360.0,1805.0,89.0
20,14,12,14,11979.8,855.7,9103.8,460.0,2310.0,106.0
