scan_index,x,y,channel,source_id,measured_bearing_deg
0,0.0,0.0,3,5,98.60515591865884
0,0.0,0.0,6,2,168.54053111958265
0,0.0,0.0,15,9,146.1268578606559
0,0.0,0.0,16,10,314.1476528595744
0,0.0,0.0,20,7,112.35580568599389
1,780.0,-1370.0,9,6,207.5706800938101
1,780.0,-1370.0,16,10,98.68326619538658
1,780.0,-1370.0,18,4,185.30565724522972
2,350.0,-1370.0,9,6,299.160913201214
2,350.0,-1370.0,16,10,64.27118400369577
2,350.0,-1370.0,18,4,188.89867179776354
3,-80.0,-1370.0,9,6,342.2673980844413
3,-80.0,-1370.0,16,10,42.283173949326454
3,-80.0,-1370.0,18,4,198.5443776483255
3,-80.0,-1370.0,19,1,160.3614835448096
4,-510.0,-1370.0,9,6,349.3206163095503
4,-510.0,-1370.0,18,4,272.554693542051
4,-510.0,-1370.0,19,1,149.17801435044237
5,-940.0,-1370.0,18,4,341.49329423971164
5,-940.0,-1370.0,19,1,122.16033940875063
6,-1370.0,-940.0,6,2,78.3229435752106
6,-1370.0,-940.0,18,4,325.8359546437394
6,-1370.0,-940.0,19,1,354.3185026442873
7,-940.0,-940.0,3,5,47.9396160082514
7,-940.0,-940.0,6,2,100.05696288887906
7,-940.0,-940.0,15,9,80.05153309180818
7,-940.0,-940.0,18,4,306.31227519542625
7,-940.0,-940.0,19,1,183.82935545046854
8,-510.0,-940.0,3,5,64.06937211350478
8,-510.0,-940.0,9,6,328.43943371870074
8,-510.0,-940.0,15,9,97.89622072293795
8,-510.0,-940.0,16,10,11.814808263990061
8,-510.0,-940.0,18,4,270.14184809916134
8,-510.0,-940.0,19,1,180.9119524629976
9,-80.0,-940.0,3,5,86.79565038460665
9,-80.0,-940.0,9,6,310.66494639253295
9,-80.0,-940.0,16,10,16.727258070170357
9,-80.0,-940.0,18,4,232.64932429795977
9,-80.0,-940.0,19,1,181.6164308669753
10,350.0,-940.0,3,5,110.37265690671575
10,350.0,-940.0,9,6,279.8919781105629
10,350.0,-940.0,16,10,34.71983409263454
10,350.0,-940.0,18,4,213.2108092445179
11,780.0,-940.0,3,5,127.62515080613593
11,780.0,-940.0,9,6,241.64688816568136
11,780.0,-940.0,16,10,115.21017461005741
11,780.0,-940.0,18,4,203.4527555912652
12,1210.0,-940.0,9,6,217.53635408915983
12,1210.0,-940.0,16,10,157.32262658399915
13,1640.0,-510.0,16,10,192.3608380342328
14,1210.0,-510.0,3,5,154.33329519218984
14,1210.0,-510.0,9,6,232.63643644033297
14,1210.0,-510.0,16,10,201.1501905017491
15,780.0,-510.0,3,5,143.92592148919942
15,780.0,-510.0,9,6,252.48331764778018
15,780.0,-510.0,16,10,241.55740198018933
16,350.0,-510.0,3,5,122.64856294670737
16,350.0,-510.0,9,6,275.70277563309605
16,350.0,-510.0,15,9,137.69069760858326
16,350.0,-510.0,16,10,328.55127192302456
16,350.0,-510.0,18,4,228.78245017973015
17,-80.0,-510.0,3,5,83.03703558684695
17,-80.0,-510.0,6,2,146.22751741175813
17,-80.0,-510.0,9,6,296.59595999809466
17,-80.0,-510.0,15,9,122.39427995339273
17,-80.0,-510.0,16,10,345.2037434381972
17,-80.0,-510.0,18,4,247.5500554497593
17,-80.0,-510.0,19,1,200.86160572273616
17,-80.0,-510.0,20,7,98.63224485298986
18,-510.0,-510.0,3,5,50.46631660781059
18,-510.0,-510.0,6,2,130.418978947342
18,-510.0,-510.0,15,9,101.56862191029713
18,-510.0,-510.0,16,10,350.1979047002507
18,-510.0,-510.0,18,4,269.7419133682762
18,-510.0,-510.0,19,1,213.61578743234568
18,-510.0,-510.0,20,7,77.42144160143695
19,-940.0,-510.0,3,5,31.25689246911486
19,-940.0,-510.0,6,2,105.01469483073782
19,-940.0,-510.0,15,9,76.12293294028083
19,-940.0,-510.0,18,4,292.77367601065674
19,-940.0,-510.0,19,1,238.21844988883095
20,-1370.0,-510.0,6,2,72.63897728385106
20,-1370.0,-510.0,15,9,56.41772974724286
20,-1370.0,-510.0,18,4,310.6511269035848
20,-1370.0,-510.0,19,1,290.0680674449457
21,-1370.0,-80.0,3,5,6.078444893108702
21,-1370.0,-80.0,6,2,52.14549504089846
21,-1370.0,-80.0,15,9,39.52447439827691
21,-1370.0,-80.0,19,1,280.2433275394722
22,-940.0,-80.0,3,5,9.381340544035153
22,-940.0,-80.0,6,2,123.86912290518129
22,-940.0,-80.0,15,9,66.24844957873684
22,-940.0,-80.0,19,1,252.46211789837307
22,-940.0,-80.0,20,7,48.856618522797156
23,-510.0,-80.0,3,5,18.308020640434318
23,-510.0,-80.0,6,2,154.79887850186765
23,-510.0,-80.0,15,9,109.8594700374902
23,-510.0,-80.0,18,4,269.8307598310431
23,-510.0,-80.0,19,1,231.8424728979206
23,-510.0,-80.0,20,7,71.44014536901321
24,-80.0,-80.0,3,5,66.35584458686681
24,-80.0,-80.0,6,2,163.37073714565372
24,-80.0,-80.0,15,9,139.04949239533002
24,-80.0,-80.0,16,10,318.97179598606937
24,-80.0,-80.0,20,7,104.02430831825426
25,350.0,-80.0,3,5,157.6563972530603
25,350.0,-80.0,15,9,152.79436045222334
25,350.0,-80.0,16,10,296.6455913648927
25,350.0,-80.0,20,7,129.64353289025078
26,780.0,-80.0,3,5,168.64181262294582
26,780.0,-80.0,16,10,260.6348872337479
27,1210.0,-80.0,3,5,172.90436080248176
27,1210.0,-80.0,16,10,229.19956542620983
28,1640.0,-80.0,16,10,213.70367556087132
30,1210.0,350.0,3,5,191.70124930678253
30,1210.0,350.0,16,10,243.76348294017237
31,780.0,350.0,3,5,199.2644335160589
31,780.0,350.0,16,10,264.0224455366156
31,780.0,350.0,20,7,163.2888938394346
32,350.0,350.0,3,5,217.96103302437248
32,350.0,350.0,15,9,173.33181119799275
32,350.0,350.0,16,10,285.99778780792445
32,350.0,350.0,20,7,152.88893882596878
33,-80.0,350.0,3,5,283.6273760632081
33,-80.0,350.0,6,2,186.83801501059963
33,-80.0,350.0,15,9,168.88739379828533
33,-80.0,350.0,20,7,120.12720258161809
34,-510.0,350.0,3,5,331.42722555895324
34,-510.0,350.0,6,2,192.00250048049872
34,-510.0,350.0,8,3,117.62267395876027
34,-510.0,350.0,15,9,147.9504422356983
34,-510.0,350.0,20,7,52.1530421082986
35,-940.0,350.0,3,5,344.4799051020994
35,-940.0,350.0,6,2,214.4390437287238
35,-940.0,350.0,8,3,92.9872313541319
35,-940.0,350.0,14,8,88.76128812024633
35,-940.0,350.0,15,9,27.530565719079718
35,-940.0,350.0,20,7,25.13192465963578
36,-1370.0,350.0,3,5,347.84461295886143
36,-1370.0,350.0,6,2,330.11875609125116
36,-1370.0,350.0,8,3,66.64102836720699
36,-1370.0,350.0,15,9,10.546458386781481
36,-1370.0,350.0,19,1,276.6982088778253
36,-1370.0,350.0,20,7,15.330212612468442
37,-1370.0,780.0,6,2,292.406659801613
37,-1370.0,780.0,8,3,49.29511018111977
37,-1370.0,780.0,14,8,51.44453223187781
37,-1370.0,780.0,15,9,335.42783859271333
37,-1370.0,780.0,20,7,355.2627149708586
38,-940.0,780.0,3,5,322.28465809997164
38,-940.0,780.0,6,2,250.756810732716
38,-940.0,780.0,8,3,94.18958607747393
38,-940.0,780.0,14,8,88.53685072077013
38,-940.0,780.0,15,9,307.08607867188607
38,-940.0,780.0,20,7,351.1323428992822
39,-510.0,780.0,3,5,304.82767267141696
39,-510.0,780.0,6,2,222.27203968318906
39,-510.0,780.0,8,3,134.3796590552701
39,-510.0,780.0,14,8,126.57076974621974
39,-510.0,780.0,15,9,238.74021522971344
39,-510.0,780.0,20,7,335.92140877310476
40,-80.0,780.0,3,5,275.3613470598403
40,-80.0,780.0,6,2,207.44099661342415
40,-80.0,780.0,8,3,152.38936731871672
40,-80.0,780.0,14,8,144.9628701653901
40,-80.0,780.0,15,9,207.37284212176536
40,-80.0,780.0,20,7,210.5749482646832
41,350.0,780.0,3,5,243.4537112163343
41,350.0,780.0,15,9,196.43131955740373
41,350.0,780.0,20,7,190.40200118303383
42,780.0,780.0,3,5,221.2750229258179
