source_id,channel,type,direction_deg,true_x,true_y,est_x,est_y,est_error_m,detections,clear_success
8,14,omni,,-922.6523941269751,1356.3128320993383,-921.3606520016388,1357.049594222667,1.4870830994737447,10,True
3,8,omni,,-979.4263864052045,1246.3222540597653,-977.8886380146159,1248.5960520378599,2.7449639993895434,12,True
6,9,omni,,448.48758403267584,-1539.6756357801196,446.20774871700075,-1539.6569783210437,2.2799116578013483,13,True
1,19,omni,,-1206.7415156724571,-956.456103509676,-1210.012623184594,-957.9727334336549,3.6055943590851713,15,True
4,18,omni,,-505.977972485194,-1510.2256192596558,-513.3271749628751,-1508.0435027216975,7.666316562938511,17,True
2,6,omni,,-1134.1782659140842,217.58808497868958,-1139.2121480684978,220.23503340069323,5.687381250915955,21,True
10,16,omni,,669.8853006303308,-711.0164999098268,670.8661547042492,-712.3728250372942,1.6738257274046429,23,True
7,20,omni,,-265.6752823301759,671.4630477832328,-266.43632167987494,667.4501611834008,4.084414248689934,27,True
9,15,omni,,-705.9109139389077,468.44505432770666,-703.8828431542491,468.0591182571814,2.0644654896892867,29,True
5,3,omni,,-11.736278918259822,75.77960304688747,-15.145783064637707,74.45610238198562,3.6573723537758145,35,True
