序号,是否为空集,是否退化,直径,是否被覆盖,最小包围圆半径,包围圆半径与直径之比,超出量,交会角,源到测点1距离,测点1_x,测点1_y,测点2_x,测点2_y,源_x,源_y,示向度1,示向度2,交会角分组
1,False,False,69.77831998866628,True,34.88915999433314,0.5,8.526512829121202e-14,48.532930496959374,417.2458453935244,217.70894451323642,958.1848061619096,-803.7164849876954,1059.3578988739919,422.4679643014521,1321.7337565297053,61.471438573920196,11.62935784503142,"(45, 60]"
2,False,False,64.6138667607828,True,32.3069333803914,0.5,3.552713678800501e-14,59.41156271857558,115.56033633334634,-1454.5329209073873,-339.49466763756516,-164.41788890469127,348.7882685284118,-1451.724248953,-455.0208668104314,271.6022313033413,212.311325460623,"(45, 60]"
3,False,False,2612.1991536636574,True,1306.0995768318287,0.5,2.2737367544323206e-13,4.334593886138867,2213.39478921039,-1053.5911363689422,400.4429358536606,-1132.406397219424,686.2196360424033,739.5347186418569,-897.1764848531578,323.6355555246946,319.24225399802026,"(0, 30]"
4,False,False,535.2540515447239,True,267.62702577236195,0.5,1.7053025658242404e-13,21.741699132125746,2815.944272754612,-1392.4183219972037,715.8495470765371,-788.7403451459902,1575.418741366067,1404.936469273418,392.81964286518183,352.7770078137104,331.84941692364504,"(0, 30]"
5,False,False,141.08219735395144,True,70.54109867697572,0.5,1.4210854715202004e-14,153.24856288897664,607.0625967762484,709.4182635804118,-241.65345547145637,-769.6023627480513,885.3687772052464,366.5250406633404,259.2948792720235,124.20602266080883,331.5918716933253,"(150, 180]"
6,False,False,154.97997234927075,True,77.48998617463538,0.5,0.0,42.45639229574579,914.2287812500136,480.1353638190705,295.37578442929464,-836.37999980319,1356.212824931299,278.74101403155214,-596.3946907152618,257.4360503010335,299.8160720860554,"(30, 45]"
7,False,False,206.2355186542361,True,103.11775932711805,0.5,0.0,37.62685666441887,2612.7610900591762,-1477.6113298378948,-996.0933671517588,-406.2714317987241,629.3196399776069,-757.7726600065482,1515.5500795067537,74.78525254927163,111.55969312796779,"(30, 45]"
8,False,False,80.62540214769426,True,40.31270107384713,0.5,2.842170943040401e-14,84.69919931346843,1009.3073764107819,-24.658142117740503,-890.6897255090579,-1288.7417976785266,841.6944806664119,498.76504895041387,-27.712586107760437,59.52642759170393,334.44448240643885,"(75, 90]"
9,False,False,499.8240852833682,True,249.9120426416841,0.5,0.0,11.51430425439387,1466.5041606535426,1182.2113743670177,1048.9984916503956,1518.5588397863085,961.441672930736,326.49676453926395,-141.96202815766537,234.2312003478579,222.13880225358034,"(0, 30]"
10,False,False,1555.3840883060782,True,777.6920441530391,0.5,0.0,4.774962169866645,1871.8584277309333,796.7983989707664,490.41321825619013,1172.1298243000608,814.5316443349614,-986.2058227645731,-79.45511631003048,197.16093675522592,202.64683300174676,"(0, 30]"
11,False,False,95.2949309030077,True,47.64746545150385,0.5,7.105427357601002e-15,113.77582666851694,1733.8056367343472,-1479.0616256664812,842.4487495764597,-289.2988969613777,-1324.3966003320577,-57.69854959081142,-150.4303930892048,324.5931195133932,79.7282064921716,"(105, 120]"
13,False,False,226.79521816580262,True,113.39760908290131,0.5,1.1368683772161603e-13,35.44416292526356,2331.627135635633,401.11451733010125,973.1886478278703,1411.2151082095277,72.52004836636785,243.9331869926633,-1353.1344443125524,267.05536000975457,230.59075278380163,"(30, 45]"
14,False,False,173.34289845636806,True,86.67144922818403,0.5,9.947598300641403e-14,37.611422663753295,1735.7004497601863,-1357.9691374373294,767.4490900529074,-463.8487191948193,190.4969138134513,-1378.2118198493226,-968.1333151086798,269.0551810340731,231.29431771515706,"(30, 45]"
15,False,False,84.47878824015145,True,42.23939412007572,0.5,2.842170943040401e-14,106.24983525246105,728.4854758165476,97.11176728228536,1269.156382141263,-411.7016243761487,-999.7702139454441,599.5488840391854,741.6641716009794,312.86047771926377,58.99570197209871,"(105, 120]"
16,False,False,33.00784958468423,True,16.503924792342115,0.5,4.263256414560601e-14,107.05362271319044,697.5301252569699,874.9762681374148,-579.9820632073523,1508.2785047873851,68.61501001778326,1530.029153958853,-340.2864386790561,19.29991845099564,272.7265114224539,"(105, 120]"
17,False,False,89.5483940328,True,44.7741970164,0.5,4.973799150320701e-14,57.290854308511136,261.0318494593227,-1038.9487995286872,-1098.07303581181,724.423299922349,-844.3604876163206,-1117.1812034887535,-1347.1057995253093,251.61501283630528,196.0565632553451,"(45, 60]"
18,False,False,273.1811894141711,True,136.59059470708556,0.5,5.684341886080802e-14,34.70570039734407,2643.1679732139983,332.40135756609374,-1052.621729930251,-1224.099169589071,-923.874600072548,-1552.5281711550142,800.315831451518,134.55292192921394,100.709547517323,"(30, 45]"
19,False,False,82.2821660096151,True,41.14108300480755,0.5,1.1368683772161603e-13,51.45403083066006,812.4157030048159,958.2627298024289,-456.35673673182896,113.75957749914997,-148.82564815031301,596.3644749045028,-1183.7142331465184,244.49974871057486,294.7627076913197,"(45, 60]"
20,False,False,70.78563990432805,True,35.392819952164025,0.5,2.1316282072803006e-14,86.53038840992181,1850.1279575478895,-576.5364446211688,1059.857803086106,1166.0200114674938,182.49881173651113,637.0777436872611,-336.6070411676963,311.2956821362867,224.37603181952736,"(75, 90]"
21,False,False,166.90998039669603,True,83.45499019834801,0.5,7.105427357601002e-14,28.913827063887872,95.78363530548945,1003.7209200891825,-581.565367322207,148.76936420250155,1230.9070808577433,995.3985744514899,-676.9867661561257,264.1603218292475,292.97129886242243,"(0, 30]"
22,False,False,123.40636483721323,True,61.703182418606616,0.5,1.2079226507921703e-13,127.0109320673411,1140.3658379005108,1483.3397428188289,132.88135949429596,-928.97599402765,1508.8546957311223,975.37361163972,1153.8635600372156,116.86453044486126,348.62058893231494,"(120, 150]"
23,False,False,162.60409444077766,True,81.30204722038883,0.5,9.947598300641403e-14,56.92891648058791,1684.2665910957528,-539.6214901351909,-935.1635543489858,-125.95662295838314,1141.8243044713981,1142.9890372719144,-1009.8345858142781,356.76475275035034,301.46007194556734,"(45, 60]"
24,False,False,566.8857168218133,True,283.44285841090664,0.5,0.0,10.466956955892984,1285.6165426164164,703.9083949353866,-498.97026710471556,1160.9369674475272,-126.16033220579313,-575.9810866273796,-620.1841674378928,185.73426865304256,196.52998144892052,"(0, 30]"
25,False,False,324.4720461686453,True,162.23602308432265,0.5,0.0,23.478192261568573,1823.7945497821327,-92.46030910148191,-717.0607897963401,-1055.7294485847353,-868.4711123699063,205.9258502002895,1082.159113315047,80.78000940881866,56.14236983531041,"(0, 30]"
26,False,False,482.3839291979182,True,241.1919645989591,0.5,0.0,14.797180797069775,1785.245713157835,-436.3753049850104,-974.9954220282535,-290.49758877382396,-396.838451210048,915.8718401290894,190.564492724821,40.08934122346517,26.040886585757782,"(0, 30]"
27,False,False,73.0091487744918,True,36.5045743872459,0.5,7.105427357601002e-15,101.45578610245288,1901.5429696986612,1682.7773893727065,517.7340826867702,-365.82059911886205,453.7455238408494,-181.5849503913737,891.9248517869818,168.11450639498375,66.56124581981076,"(90, 105]"
28,False,False,1428.5625122030183,True,714.2812561015091,0.5,1.1368683772161603e-13,4.930170860698985,3041.7901416381383,-1601.8539656048567,413.10799667427546,-609.2563350295578,-39.86435149651811,1327.926272941023,-404.73980065296075,343.8734438526371,350.1191555304805,"(0, 30]"
29,False,False,563.7482143055953,True,281.87410715279765,0.5,1.7053025658242404e-13,16.201950346799673,2844.232662522258,-1311.5070441643327,972.400935055424,24.967096590973416,-61.7980218104474,1246.4830075891018,-271.12081131209214,335.02545881225814,350.7694014054543,"(0, 30]"
30,False,False,396.72701833088774,True,198.36350916544387,0.5,1.1368683772161603e-13,21.075601969228778,3295.4336823553663,1566.5818065870762,315.2680329494469,-686.3329680794351,-902.5541282544159,-1490.908402669228,-914.2183537600973,201.7977141183617,180.60809419649863,"(0, 30]"
31,False,False,74.59844938848165,True,37.29922469424083,0.5,2.842170943040401e-14,117.38251106586775,1467.8602369589178,338.72713311136175,638.121527934031,1127.2405829873308,-1089.8811307076767,1354.9636604920877,-421.0654223548466,313.11183877445376,70.41371779445376,"(105, 120]"
32,False,False,87.73519914909622,True,43.86759957454811,0.5,7.105427357601002e-15,101.38192027453604,2009.4112089060743,1456.9926858811214,-183.41752067909243,-536.0999808069676,1245.8147845320361,-519.012279819757,181.46298305170552,168.6196034556152,271.30500958521264,"(90, 105]"
33,False,False,658.6887394140799,True,329.34436970703996,0.5,1.1368683772161603e-13,16.281224561376902,1184.1190636462952,762.3665815389663,761.2298022391865,1121.9451109066326,-1346.2954348907272,84.94183971878718,1732.4319830751042,124.68369625681689,109.56465066726868,"(0, 30]"
34,False,False,1433.6705175797185,True,716.8352587898593,0.5,0.0,9.723252924072137,2776.82376668741,1530.50935854628,-238.038319794976,878.1384330601279,-281.5530149375169,-816.8548078241457,1245.4143089330648,146.87697993687306,138.33405703766527,"(0, 30]"
35,False,False,81.64341690329476,True,40.82170845164738,0.5,0.0,94.24838200722797,1424.1463838423404,-562.2928339612729,-1543.2625289889513,501.85443805296046,528.5502911985008,-1072.4802755206376,-213.63788380282793,110.58924370195818,205.95806792127175,"(90, 105]"
36,False,False,109.56525068757186,True,54.78262534378593,0.5,5.684341886080802e-14,83.4864956220913,2181.6190598655157,1067.9503900663567,-1345.980294772636,807.812819711507,1435.0186127335405,-626.5197819323425,28.149451130274183,140.5813525152941,224.25944660616136,"(75, 90]"
37,False,False,154.26915077382938,True,77.13457538691469,0.5,0.0,138.76857953114524,2110.094205581243,-168.95846385216325,1520.854429882564,164.017763970426,-1374.7233884063053,528.1472828235459,-470.76328804907735,289.40660012073954,68.15489335833382,"(120, 150]"
38,False,False,105.26416163874487,True,52.63208081937243,0.5,0.0,81.66287972895333,435.93856823452575,1027.3908620912473,-950.5396064795771,-89.2048779343973,1667.082453903516,1427.2267958945474,-776.8339320932425,22.819239422126458,301.7185218078615,"(75, 90]"
39,False,False,141.15692904883178,True,70.57846452441589,0.5,0.0,67.57420512855055,2366.935642429511,31.465837770443045,1383.2728705728407,-1703.4667550636502,-537.196979327937,548.5251772425419,-926.4963765312673,282.22485969653906,351.1475349346753,"(60, 75]"
40,False,False,510.3358831922842,True,255.1679415961421,0.5,5.684341886080802e-14,17.05242207238205,3290.6116227099183,-1164.2554925945867,-980.1287485152928,1349.1384724202655,454.21195258574744,1622.1221738898419,770.3638539341983,32.97206375681511,49.1955548919959,"(0, 30]"
42,False,False,92.44718795117426,True,46.22359397558713,0.5,6.394884621840902e-14,87.41261475293295,2354.0081809059566,-420.0507574504172,1723.5231879468652,1289.8816983553882,-168.75669869495803,258.0711650428622,-530.6962277281464,287.33081132125596,200.08784056175918,"(75, 90]"
43,False,False,166.1759002699988,True,83.0879501349994,0.5,0.0,29.715448762254113,1128.086486022759,-140.49419902710738,-260.5274926087277,-318.76771828510215,-1012.2010100519861,-1143.3430956038492,256.0702334625238,153.6502909620031,122.60149576226617,"(0, 30]"
44,False,False,239.2483968441676,True,119.6241984220838,0.5,1.4210854715202004e-14,31.065911086722362,2656.2025459112497,1316.1616960860083,981.9315529655829,-312.50001696262797,572.7529106331654,-784.1986372847713,-644.0753458229775,217.12047414992983,249.60399615357596,"(30, 45]"
45,False,False,145.08345870445197,True,72.54172935222599,0.5,0.0,66.8855634598502,1784.5026559566172,-1217.2184850848187,1297.8610892682964,1125.8127933392502,172.06516249234951,-1515.6210906274132,-461.51539520613574,260.9035597916293,194.2096784088811,"(60, 75]"
46,False,False,260.431584307848,True,130.215792153924,0.5,0.0,22.941098884113412,2219.1160327774696,-1125.3287497520812,742.6818294828372,-645.1116580391987,-643.528604781515,60.31547189635658,-1133.1443209377412,301.6731252938115,324.9819794582565,"(0, 30]"
47,False,False,565.8071617227348,True,282.9035808613674,0.5,0.0,13.112707058755468,2026.8089292888978,1598.0976940274004,14.875769853810965,1529.4901137831794,469.7403303381439,-416.8774401823804,233.57566551333096,173.68535155747992,187.44696602781266,"(0, 30]"
48,False,False,60.70459292364132,True,30.35229646182066,0.5,3.552713678800501e-15,95.0306716286944,1643.8334244671387,-1298.6384799220941,-875.1327249791025,188.8172088031617,-1766.245807028259,275.4063424279337,-1349.0221895469797,343.6941992095824,78.23293216699338,"(90, 105]"
49,False,False,254.30843734633288,True,127.15421867316644,0.5,0.0,36.31197830325998,2347.907662804142,308.16886011999406,1518.4157872021672,-426.1000105399149,304.4790725514051,1620.808168921119,-428.2861514737342,304.1485124346731,340.4469452719399,"(30, 45]"
50,False,False,291.116827814195,True,145.5584139070975,0.5,5.684341886080802e-14,20.297473529853228,2050.114726780665,-117.6228597203654,-1427.3065902328133,-1021.4642171518352,-1293.3370758821386,-1705.4060814792797,-130.419997787721,141.69895527282202,119.77914671720877,"(0, 30]"
51,False,False,286.9025524397638,True,143.4512762198819,0.5,5.684341886080802e-14,34.23160999566134,1942.4999588178325,1051.2232377253033,721.7906611903145,1440.1463319842067,-907.2568869386563,-890.5054197739045,776.5255737563012,178.0186036199559,143.83659920069607,"(30, 45]"
