点编号,x,y,半径,方位角
R0,0.0,0.0,0.0,0.0
R1,866.0254037844387,499.99999999999994,1000.0,29.999999999999996
R2,6.123233995736766e-14,1000.0,1000.0,90.0
R3,-866.0254037844385,500.00000000000034,1000.0000000000001,149.99999999999997
R4,-866.0254037844388,-499.9999999999998,1000.0000000000001,209.99999999999997
R5,-1.8369701987210297e-13,-1000.0,1000.0,270.0
R6,866.0254037844388,-499.99999999999966,1000.0,330.0
R7,1255.7035741757888,336.464758633277,1300.0,14.999999999999998
R8,919.2388155425118,919.2388155425117,1300.0,45.0
R9,336.46475863327726,1255.7035741757886,1300.0,74.99999999999999
R10,-336.4647586332768,1255.7035741757888,1300.0,105.0
R11,-919.2388155425117,919.2388155425118,1300.0,135.0
R12,-1255.7035741757888,336.46475863327674,1300.0,165.00000000000003
R13,-1255.7035741757888,-336.46475863327703,1300.0,194.99999999999997
R14,-919.238815542512,-919.2388155425117,1300.0000000000002,224.99999999999997
R15,-336.464758633278,-1255.7035741757886,1300.0,254.99999999999994
R16,336.4647586332764,-1255.7035741757888,1300.0,285.0
R17,919.2388155425116,-919.238815542512,1300.0,315.0
R18,1255.7035741757886,-336.46475863327805,1300.0,344.99999999999994
R19,1871.1347307231952,329.93153756716765,1899.9999999999998,10.000000000000002
R20,1645.4482671904336,949.9999999999999,1900.0,29.999999999999996
R21,1221.2964584044248,1455.4844419260583,1900.0,50.0
R22,649.8382723187708,1785.415979493226,1900.0000000000002,70.0
R23,1.1634144591899854e-13,1900.0,1900.0,90.0
R24,-649.8382723187706,1785.415979493226,1900.0,110.0
R25,-1221.2964584044241,1455.484441926059,1900.0000000000002,129.99999999999997
R26,-1645.4482671904332,950.0000000000007,1900.0000000000002,149.99999999999997
R27,-1871.1347307231952,329.9315375671684,1899.9999999999998,169.99999999999997
R28,-1871.1347307231954,-329.931537567167,1899.9999999999998,189.99999999999997
R29,-1645.4482671904339,-949.9999999999995,1900.0000000000002,209.99999999999997
R30,-1221.296458404425,-1455.484441926058,1900.0,230.0
R31,-649.8382723187718,-1785.4159794932257,1900.0000000000002,249.99999999999994
R32,-3.4902433775699563e-13,-1900.0,1900.0,270.0
R33,649.8382723187696,-1785.4159794932261,1899.9999999999998,290.0
R34,1221.2964584044232,-1455.4844419260594,1900.0,309.99999999999994
R35,1645.448267190433,-950.0000000000008,1900.0,330.0
R36,1871.1347307231952,-329.9315375671677,1899.9999999999998,350.0
